sequence_id,dataset,risk_level
S005C002P004R002A009,NTU,low_risk
S005C002P004R002A042,NTU,moderate_risk
S005C002P004R002A043,NTU,high_risk
S005C002P010R001A008,NTU,low_risk
S005C002P010R001A009,NTU,low_risk
S005C002P010R001A042,NTU,moderate_risk
S005C002P010R001A043,NTU,high_risk
S005C002P010R002A008,NTU,low_risk
S005C002P010R002A009,NTU,low_risk
S005C002P010R002A042,NTU,moderate_risk
S005C002P010R002A043,NTU,high_risk
S005C002P016R001A008,NTU,low_risk
S005C002P016R001A009,NTU,low_risk
S005C002P016R001A042,NTU,moderate_risk
S005C002P016R001A043,NTU,high_risk
S005C002P016R002A008,NTU,low_risk
S005C002P016R002A009,NTU,low_risk
S005C002P016R002A042,NTU,moderate_risk
S005C002P016R002A043,NTU,high_risk
S005C002P018R001A008,NTU,low_risk
S005C002P018R001A009,NTU,low_risk
S005C002P018R001A042,NTU,moderate_risk
S005C002P018R001A043,NTU,high_risk
S005C002P018R002A008,NTU,low_risk
S005C002P018R002A009,NTU,low_risk
S005C002P018R002A042,NTU,moderate_risk
S005C002P018R002A043,NTU,high_risk
S005C002P021R001A008,NTU,low_risk
S005C002P021R001A009,NTU,low_risk
S005C002P021R001A042,NTU,moderate_risk
S005C002P021R001A043,NTU,high_risk
S005C002P021R002A008,NTU,low_risk
S005C002P021R002A009,NTU,low_risk
S005C002P021R002A042,NTU,moderate_risk
S005C002P021R002A043,NTU,high_risk
S005C003P004R001A008,NTU,low_risk
S005C003P004R001A009,NTU,low_risk
S005C003P004R001A042,NTU,moderate_risk
S005C003P004R001A043,NTU,high_risk
S005C003P004R002A008,NTU,low_risk
S005C003P004R002A009,NTU,low_risk
S005C003P004R002A042,NTU,moderate_risk
S005C003P004R002A043,NTU,high_risk
S005C003P010R001A008,NTU,low_risk
S005C003P010R001A009,NTU,low_risk
S005C003P010R001A042,NTU,moderate_risk
S005C003P010R001A043,NTU,high_risk
S005C003P010R002A008,NTU,low_risk
S005C003P010R002A009,NTU,low_risk
S005C003P010R002A042,NTU,moderate_risk
S005C003P010R002A043,NTU,high_risk
S005C003P016R001A008,NTU,low_risk
S005C003P016R001A009,NTU,low_risk
S005C003P016R001A042,NTU,moderate_risk
S005C003P016R001A043,NTU,high_risk
S005C003P016R002A008,NTU,low_risk
S005C003P016R002A009,NTU,low_risk
S005C003P016R002A042,NTU,moderate_risk
S005C003P016R002A043,NTU,high_risk
S005C003P018R001A008,NTU,low_risk
S005C003P018R001A009,NTU,low_risk
S005C003P018R001A042,NTU,moderate_risk
S005C003P018R001A043,NTU,high_risk
S005C003P018R002A008,NTU,low_risk
S005C003P018R002A009,NTU,low_risk
S005C003P018R002A042,NTU,moderate_risk
S005C003P018R002A043,NTU,high_risk
S005C003P021R001A008,NTU,low_risk
S005C003P021R001A009,NTU,low_risk
S005C003P021R001A042,NTU,moderate_risk
S005C003P021R001A043,NTU,high_risk
S005C003P021R002A008,NTU,low_risk
S005C003P021R002A009,NTU,low_risk
S005C003P021R002A042,NTU,moderate_risk
S005C003P021R002A043,NTU,high_risk
S006C001P001R001A008,NTU,low_risk
S006C001P001R001A009,NTU,low_risk
S006C001P001R001A042,NTU,moderate_risk
S006C001P001R001A043,NTU,high_risk
S006C001P001R002A008,NTU,low_risk
S006C001P001R002A009,NTU,low_risk
S006C001P001R002A042,NTU,moderate_risk
S006C001P001R002A043,NTU,high_risk
S006C001P008R001A008,NTU,low_risk
S006C001P008R001A009,NTU,low_risk
S006C001P008R001A042,NTU,moderate_risk
S006C001P008R001A043,NTU,high_risk
S006C001P008R002A008,NTU,low_risk
S006C001P008R002A009,NTU,low_risk
S006C001P008R002A042,NTU,moderate_risk
S006C001P008R002A043,NTU,high_risk
S006C001P016R001A008,NTU,low_risk
S006C001P016R001A009,NTU,low_risk
S006C001P016R001A042,NTU,moderate_risk
S006C001P016R001A043,NTU,high_risk
S006C001P016R002A008,NTU,low_risk
S006C001P016R002A009,NTU,low_risk
S006C001P016R002A042,NTU,moderate_risk
S006C001P016R002A043,NTU,high_risk
S006C001P019R001A008,NTU,low_risk
S006C001P019R001A009,NTU,low_risk
S006C001P019R001A042,NTU,moderate_risk
S006C001P019R001A043,NTU,high_risk
S006C001P019R002A008,NTU,low_risk
S006C001P019R002A009,NTU,low_risk
S006C001P019R002A042,NTU,moderate_risk
S006C001P019R002A043,NTU,high_risk
S006C001P022R001A008,NTU,low_risk
S006C001P022R001A009,NTU,low_risk
S006C001P022R001A042,NTU,moderate_risk
S006C001P022R001A043,NTU,high_risk
S006C001P022R002A008,NTU,low_risk
S006C001P022R002A009,NTU,low_risk
S006C001P022R002A042,NTU,moderate_risk
S006C001P022R002A043,NTU,high_risk
S006C001P024R001A008,NTU,low_risk
S006C001P024R001A009,NTU,low_risk
S006C001P024R001A042,NTU,moderate_risk
S006C001P024R001A043,NTU,high_risk
S006C001P024R002A008,NTU,low_risk
S006C001P024R002A009,NTU,low_risk
S006C001P024R002A042,NTU,moderate_risk
S006C001P024R002A043,NTU,high_risk
S006C002P001R001A008,NTU,low_risk
S006C002P001R001A009,NTU,low_risk
S006C002P001R001A042,NTU,moderate_risk
S006C002P001R001A043,NTU,high_risk
S006C002P001R002A008,NTU,low_risk
S006C002P001R002A009,NTU,low_risk
S006C002P001R002A042,NTU,moderate_risk
S006C002P001R002A043,NTU,high_risk
S006C002P008R001A008,NTU,low_risk
S006C002P008R001A009,NTU,low_risk
S006C002P008R001A042,NTU,moderate_risk
S006C002P008R001A043,NTU,high_risk
S006C002P008R002A008,NTU,low_risk
S006C002P008R002A009,NTU,low_risk
S006C002P008R002A042,NTU,moderate_risk
S006C002P008R002A043,NTU,high_risk
S006C002P016R001A008,NTU,low_risk
S006C002P016R001A009,NTU,low_risk
S006C002P016R001A042,NTU,moderate_risk
S006C002P016R001A043,NTU,high_risk
S006C002P016R002A008,NTU,low_risk
S006C002P016R002A009,NTU,low_risk
S006C002P016R002A042,NTU,moderate_risk
S006C002P016R002A043,NTU,high_risk
S006C002P019R001A008,NTU,low_risk
