sequence_id,dataset,label,risk_level,pose_array_path,center_speed_mean,center_speed_max,center_speed_std,center_acceleration_mean,center_acceleration_max,center_acceleration_std,vertical_range,vertical_drop,sudden_vertical_change,torso_angle_mean,torso_angle_max,torso_angle_std,body_height_change,body_height_range,mean_joint_speed,max_joint_speed,std_joint_speed,instability_score
adl-11-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-11-cam0-rgb.npy,0.13476509,0.686978,0.13307607,0.20047632,0.8613898,0.18442062,1.4469655,0.05822716,0.51995546,24.837929,71.17696,23.270445,4.5370917,9.540905,0.34276748,4.8413196,0.4707794,0.6038555
adl-12-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-12-cam0-rgb.npy,0.12840296,1.0887339,0.18283801,0.20769106,1.6167092,0.27645352,1.0506843,0.9920863,0.73568916,7.19291,34.496674,10.666782,8.816829,9.254409,0.29904458,4.7821674,0.46992218,0.6527602
adl-14-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-14-cam0-rgb.npy,0.10512786,0.9364101,0.14605924,0.18266296,1.2240824,0.22020085,1.0022238,0.99011904,0.61835057,3.212122,18.62758,4.2157693,8.282442,9.3197775,0.2598768,5.3394103,0.45402437,0.6000836
adl-15-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-15-cam0-rgb.npy,0.14248198,1.4864765,0.24963342,0.24922322,1.7010005,0.38429752,0.7530876,0.71244365,0.49959597,9.401058,70.0931,15.603022,6.5930023,12.410518,0.3059437,6.015814,0.56328416,0.8129176
adl-17-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-17-cam0-rgb.npy,0.14268216,0.9151612,0.17422426,0.2373233,1.0930436,0.26230487,1.472872,1.2622911,0.91363674,15.8988,71.33103,24.287079,8.988002,11.048067,0.34176248,4.81302,0.54493797,0.7191622
fall-01-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-01-cam0-rgb.npy,0.12348368,1.6134404,0.29143173,0.22241953,3.1401684,0.46935412,0.89446515,0.124551654,0.7632336,15.057996,77.70315,20.73208,-4.510073,8.842011,0.29230195,8.450026,0.71433836,1.0057701
fall-02-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-02-cam0-rgb.npy,0.12552854,1.044563,0.15005186,0.19574296,1.044563,0.20711236,1.4753027,-1.2560792,0.29151738,42.19212,88.35158,31.82909,-1.3125305,3.2774312,0.291754,4.389954,0.4434227,0.59347457
fall-03-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-03-cam0-rgb.npy,0.10709328,0.72222006,0.13612287,0.15500696,0.8566464,0.19347216,1.3865769,-0.19194213,0.31551215,5.477747,28.854767,6.166912,2.5991035,5.1259346,0.2660597,3.2107134,0.36644772,0.50257057
fall-05-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-05-cam0-rgb.npy,0.15081123,1.4618052,0.25708193,0.2626244,1.4618052,0.3537756,1.9737114,-0.54350775,1.3509302,23.384893,88.24445,29.003231,2.879229,8.191559,0.32180345,6.1432433,0.5943893,0.85147125
fall-06-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-06-cam0-rgb.npy,0.12579429,1.0503309,0.14498784,0.17895977,1.1613436,0.18391313,1.0412054,-0.365884,0.3710559,55.847794,89.85396,33.089798,-2.5935433,4.371182,0.29400173,4.660136,0.4473442,0.59233207
fall-07-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-07-cam0-rgb.npy,0.12384671,1.1281526,0.1861563,0.19139218,1.2467839,0.26069176,1.8423609,-0.5878742,1.0232792,24.884224,89.85743,30.594027,-5.702286,7.2996783,0.28443465,3.7378783,0.4345705,0.6207268
fall-08-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-08-cam0-rgb.npy,0.06645728,0.3405386,0.062221963,0.09176272,0.4490924,0.09018961,0.8584154,-0.269174,0.07699241,49.681103,88.58981,31.735947,0.7736988,6.1354303,0.15199925,1.6807591,0.19079395,0.2530159
fall-09-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-09-cam0-rgb.npy,0.1683821,2.5011644,0.38828275,0.268293,2.5932524,0.54555416,1.606542,-0.8319091,0.7266435,15.126401,75.10629,22.853556,3.4663196,6.2973375,0.38123718,11.742617,0.9204672,1.3087499
fall-10-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-10-cam0-rgb.npy,0.17343244,2.833315,0.37893945,0.27553433,4.3686523,0.58265895,1.8826195,-1.0285404,1.1555723,42.16546,89.93055,29.060215,-1.3084829,6.0483875,0.38759503,9.8109045,0.8777919,1.2567313
fall-11-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-11-cam0-rgb.npy,0.078672975,0.44836733,0.08207453,0.09505374,0.55200946,0.10449052,1.3726467,-0.49028218,0.12052525,39.625126,81.79108,33.547348,-0.30660534,4.7537885,0.20278285,2.1941419,0.23325975,0.3153343
fall-12-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-12-cam0-rgb.npy,0.12633036,0.49183536,0.1005045,0.18583661,0.6643621,0.14164503,1.2566652,-0.33290353,0.113229275,60.215595,89.80605,32.35129,1.5226631,3.2614334,0.27017027,2.5860312,0.30289605,0.40340054
fall-13-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-13-cam0-rgb.npy,0.07818683,0.46099427,0.08078583,0.10531155,0.88261986,0.11345163,0.29591486,0.10821009,0.107001126,11.184375,88.79546,20.589405,-0.7321248,10.30859,0.272594,4.7791543,0.47706038,0.5578462
fall-14-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-14-cam0-rgb.npy,0.07308759,0.6584714,0.10950729,0.08188851,1.0043557,0.14162403,1.0058243,-0.5066387,0.1594845,59.826298,88.970924,22.543503,-1.5021186,2.767373,0.18822943,2.8776562,0.3165582,0.4260655
fall-15-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-15-cam0-rgb.npy,0.04225939,0.3275085,0.062106617,0.044050947,0.30417338,0.056494314,0.59226775,-0.33036035,0.12252224,38.139572,87.3584,36.780407,5.234626,6.444722,0.09640074,1.6899557,0.16842808,0.2305347
fall-16-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-16-cam0-rgb.npy,0.04283279,0.15056962,0.029791903,0.034188528,0.20367147,0.032143332,0.80937964,-0.48307163,0.06592125,55.634853,89.9264,23.98083,-1.2615263,1.3501077,0.11379311,1.7796686,0.13734524,0.16713715
fall-17-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-17-cam0-rgb.npy,0.054556604,0.75676465,0.10404053,0.07194782,1.166748,0.14034699,0.50140107,-0.33029974,0.19400793,8.659146,81.02838,11.304897,2.1254253,5.5933027,0.14512062,2.5335004,0.25290656,0.3569471
fall-18-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-18-cam0-rgb.npy,0.056018814,0.856764,0.11886185,0.062397037,1.3187295,0.16530722,0.932566,-0.57967407,0.14349958,63.079178,89.6938,27.197012,2.747954,4.276759,0.10453575,2.951387,0.22424778,0.34310964
fall-20-cam0-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-20-cam0-rgb.npy,0.16493905,0.6160282,0.12765865,0.2550687,1.0867966,0.20123267,0.7570121,-0.17083961,0.23180196,35.406708,74.30121,20.495668,-2.8888655,4.1824236,0.36634305,4.1110077,0.44077542,0.56843406
fall-02-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-02-cam1-rgb.npy,0.14477748,0.8251075,0.17687635,0.21434842,1.4762951,0.25829864,0.86499405,-0.4262493,0.18167907,67.26776,89.178764,24.855904,4.670683,11.71564,0.3393916,7.2024727,0.5778948,0.7547712
fall-04-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-04-cam1-rgb.npy,0.13757792,0.95861787,0.15692881,0.16730924,1.2776318,0.22777703,0.94471705,-0.68065166,0.10696052,74.86566,89.79462,9.192524,-7.1014147,8.632012,0.2529497,5.0909266,0.37873057,0.5356594
fall-06-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-06-cam1-rgb.npy,0.17683218,0.6181555,0.13831374,0.25454378,0.8911538,0.20617686,0.75218284,0.7198545,0.1074682,73.242,89.78262,8.556863,-6.1823525,10.227589,0.32529444,3.4548788,0.4112567,0.54957044
fall-07-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-07-cam1-rgb.npy,0.23538367,1.7030883,0.30370635,0.36872533,2.3797033,0.5074389,1.006776,-0.29931504,0.33389246,37.157055,87.391464,20.505516,-1.7129812,13.302526,0.4076668,7.414444,0.69746006,1.0011663
fall-08-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-08-cam1-rgb.npy,0.116541535,0.5594849,0.121931694,0.13080095,0.7351247,0.13522357,0.3718466,0.20996325,0.10813449,61.72658,88.997055,17.00402,-7.519101,8.564906,0.24721359,3.2043207,0.31646848,0.43840018
fall-09-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-09-cam1-rgb.npy,0.25469953,1.4059949,0.33100775,0.42857808,2.4210358,0.5178509,1.0168465,-0.5611044,0.63206255,30.012712,85.5678,28.40266,3.4298067,15.464187,0.5007505,8.142608,0.86674666,1.1977544
fall-10-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-10-cam1-rgb.npy,0.13595705,0.7057412,0.14539239,0.19566089,0.7490449,0.17953156,0.7228663,-0.4553269,0.13579534,73.721306,89.588,10.897898,-6.7848077,10.27455,0.30088234,3.434724,0.40763143,0.5530238
fall-11-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-11-cam1-rgb.npy,0.1759875,1.6725994,0.29008368,0.30557036,2.0976264,0.44510067,0.7168869,0.124488816,0.13802575,44.533882,88.44658,23.09466,-2.1552901,15.820438,0.32922524,7.810183,0.6503858,0.9404695
fall-12-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-12-cam1-rgb.npy,0.12330061,0.9742774,0.16384977,0.19160587,1.812512,0.25983748,0.58989173,0.4449287,0.12714182,60.55646,78.67694,15.364934,-5.133878,11.358607,0.2741925,4.171733,0.4510373,0.61488706
fall-14-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-14-cam1-rgb.npy,0.17107661,1.4738742,0.2535468,0.2039836,2.0494587,0.30525762,0.49915475,0.4199031,0.11437715,81.68855,89.811325,6.7471976,-4.313381,6.1568975,0.30264398,4.14609,0.4997955,0.7533423
fall-18-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-18-cam1-rgb.npy,0.09716193,0.8422032,0.14375603,0.09649613,0.6997321,0.13103126,0.6919767,-0.5013563,0.11761571,75.18088,89.39317,9.831442,3.0668957,9.09709,0.20543328,2.4590955,0.32309577,0.4668518
fall-20-cam1-rgb,UR,fall,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\fall\fall-20-cam1-rgb.npy,0.17870449,1.1724252,0.20401558,0.3109226,2.2218966,0.35508266,0.57191885,0.39661753,0.12250222,29.01876,85.925255,24.202198,-5.332226,8.232721,0.37980124,6.5090485,0.55746174,0.76147735
S001C001P001R001A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P001R001A008.npy,0.015984423,0.11056037,0.01505817,0.016857877,0.12239119,0.016438005,0.39918643,0.30280733,0.09146738,7.8806095,24.78874,7.5951996,-1.2611699,1.8115616,0.032490376,0.2950013,0.04191294,0.05697111
S001C001P001R001A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P001R001A009.npy,0.01771946,0.102902465,0.018081836,0.01716201,0.08278658,0.014968111,0.49584794,-0.32146555,0.06911069,10.01401,31.246843,8.68021,1.5604839,2.5799022,0.03779852,0.5896639,0.054436583,0.07251842
S001C001P001R001A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P001R001A042.npy,0.029011749,0.102227844,0.017359767,0.03882812,0.12957591,0.024770744,0.11345804,0.0029159784,0.06586391,2.6309495,8.154657,1.7819961,-0.10744333,0.5535011,0.06738114,0.7825369,0.07099049,0.08835025
S001C001P001R001A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P001R001A043.npy,0.03090783,0.09784019,0.02253263,0.035526235,0.12934011,0.026602255,0.5703839,0.53556263,0.08106029,18.778997,48.405693,17.843513,-2.6893055,2.7458665,0.06997153,1.0116553,0.08618792,0.108720556
S001C001P001R002A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P001R002A008.npy,0.031759918,0.10511677,0.021875702,0.035180118,0.17557423,0.028028006,0.6171218,0.61001587,0.07286319,5.221573,19.292542,5.2793097,-1.9063082,2.0154614,0.059704877,0.6407936,0.06934958,0.09122528
S001C001P001R002A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P001R002A009.npy,0.024074692,0.10196804,0.017211936,0.02474685,0.110024445,0.019247254,0.6054054,-0.3220039,0.08091831,9.144696,22.754734,6.7512565,1.4077654,2.0345879,0.04916691,0.76096696,0.064112596,0.08132453
S001C001P001R002A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P001R002A042.npy,0.030123759,0.15110803,0.025051914,0.04504345,0.1697277,0.0344329,0.17011732,0.06696886,0.07794076,4.517752,14.287172,3.2793417,-0.2411046,0.77344227,0.067365505,0.5804573,0.07808064,0.10313255
S001C001P001R002A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P001R002A043.npy,0.06572206,0.59677666,0.08314407,0.08576413,0.930063,0.14267594,1.043091,0.64426374,0.1488682,6.8806844,19.723467,4.884722,-2.6458979,3.194265,0.128846,2.185693,0.2144172,0.2975613
S001C001P002R001A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P002R001A008.npy,0.04292887,0.20897266,0.0330698,0.046068735,0.2572424,0.03730005,0.5331857,0.12516505,0.14340448,62.623337,88.82084,22.21556,1.0888152,1.491055,0.09251876,1.1426061,0.11905306,0.15212286
S001C001P002R001A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P002R001A009.npy,0.021949064,0.11161265,0.018338727,0.019737888,0.08556443,0.017137166,0.46824676,-0.3871026,0.050996274,13.127476,29.147459,7.523855,1.4500456,1.9910436,0.04745987,0.79168355,0.06045795,0.07879668
S001C001P002R001A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P002R001A042.npy,0.024359135,0.073009044,0.015078877,0.028237881,0.08410085,0.018863637,0.28265953,0.079307675,0.051828146,7.290738,12.484837,3.049225,-0.08919668,0.5113468,0.05700988,0.73022276,0.062340174,0.07741905
S001C001P002R001A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P002R001A043.npy,0.03110643,0.19043016,0.031026654,0.033049855,0.16387473,0.034611654,0.4412473,0.2846287,0.16273639,12.595691,36.651814,11.357944,-1.5762954,2.0519261,0.06509319,1.0690081,0.0908685,0.12189516
S001C001P002R002A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P002R002A008.npy,0.019311883,0.10219,0.016151285,0.020727705,0.14130637,0.020424094,0.58986235,0.41390887,0.09776807,9.055852,27.924742,7.7662063,-0.912611,1.8522124,0.04264984,0.44107717,0.05020008,0.06635136
S001C001P002R002A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P002R002A009.npy,0.02024456,0.15701261,0.019972889,0.02170396,0.123838164,0.02074961,0.5192337,-0.3662859,0.13658226,6.5494356,23.727236,6.2113023,0.99744034,1.957273,0.04358778,0.5293699,0.055794273,0.07576716
S001C001P002R002A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P002R002A042.npy,0.031839587,0.09878006,0.019993851,0.039276596,0.13529314,0.031464174,0.43259528,0.08997911,0.07774261,6.394964,14.296818,3.4486194,-0.051862717,0.52499723,0.07133662,0.96769005,0.08869626,0.108690105
S001C001P002R002A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P002R002A043.npy,0.033820204,0.21799637,0.0359312,0.034003798,0.18690805,0.03814775,0.4133112,0.15236676,0.13598722,9.67048,20.423204,6.257243,-1.2459893,1.7322063,0.06373169,1.2208906,0.08120907,0.11714027
S001C001P003R001A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P003R001A008.npy,0.04958839,0.3199334,0.06945804,0.08415261,0.61233884,0.11044482,0.71683735,0.34873143,0.27777737,4.3938704,17.804443,3.7171073,-0.9363675,2.3779645,0.09638541,1.0756313,0.14315929,0.21261732
S001C001P003R001A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P003R001A009.npy,0.0264384,0.17888556,0.024832996,0.035942364,0.19726908,0.032089252,0.5200236,-0.32710794,0.086747706,7.4089937,15.760731,5.2705846,0.8420081,2.3494604,0.056854337,0.8091867,0.08286435,0.107697345
S001C001P003R001A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P003R001A042.npy,0.01763912,0.04639292,0.011014642,0.022863554,0.07116962,0.015994824,0.084375024,0.013966203,0.039924324,3.277334,8.705841,2.2937746,-0.049653053,0.36564016,0.044234157,0.40563336,0.054897945,0.06591259
S001C001P003R001A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P003R001A043.npy,0.038933296,0.23785701,0.045737304,0.044705853,0.31785232,0.05732928,0.5455365,0.4089141,0.15729505,25.996086,83.27896,28.180222,-0.120812416,2.9634738,0.084263936,2.5886326,0.1574946,0.2032319
S001C001P003R002A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P003R002A008.npy,0.04370294,0.35430542,0.05818764,0.060715437,0.37273216,0.08075996,1.0510192,0.38794273,0.33364403,11.102154,43.452587,8.369998,-1.0597596,2.5414083,0.08690708,1.2675661,0.13027982,0.18846747
S001C001P003R002A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P003R002A009.npy,0.020786291,0.09740143,0.01992672,0.024008764,0.11667786,0.021467054,0.58504033,-0.34317994,0.07749498,8.403131,17.485933,5.366299,1.0834298,2.2220078,0.043194678,0.5673102,0.05552741,0.07545413
S001C001P003R002A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P003R002A042.npy,0.40623608,2.2414098,0.3411712,0.689642,2.9040835,0.51008385,2.4017432,0.5427763,1.1860127,27.268661,88.03964,24.575602,0.85654354,8.754095,0.888628,9.960509,1.2055136,1.5466847
S001C001P003R002A043,NTU,falling_down,high_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\falling_down\S001C001P003R002A043.npy,0.23473191,0.7196502,0.17233883,0.30527642,0.8479793,0.20889203,2.4651709,-0.07391167,0.49972445,66.1623,89.917244,22.064463,-0.054320335,6.377663,0.57272416,7.3593335,0.7903197,0.9626585
S001C001P004R001A008,NTU,sit_down,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\sit_down\S001C001P004R001A008.npy,0.033991285,0.24277657,0.043579172,0.044438757,0.449959,0.07281005,0.7007345,0.4931184,0.15001142,10.366652,36.03278,7.2740707,-1.2494602,1.8067458,0.062293246,0.6389027,0.08495581,0.12853499
S001C001P004R001A009,NTU,stand_up,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\stand_up\S001C001P004R001A009.npy,0.020901985,0.11926792,0.02349503,0.020880757,0.14815868,0.022413544,0.59140956,-0.41176894,0.0918985,11.170396,31.585285,7.477173,1.4626999,1.985765,0.03656105,0.5668052,0.053704828,0.07719986
S001C001P004R001A042,NTU,staggering,moderate_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\NTU\staggering\S001C001P004R001A042.npy,0.019417994,0.06760615,0.01593613,0.022943463,0.08510714,0.019276178,0.12859648,0.059954822,0.051813126,5.2311683,17.64134,4.2389927,-0.35468817,0.7229147,0.046183523,0.9170262,0.069071464,0.08500759
