sequence_id,center_speed_mean,center_speed_max,center_speed_std,center_acceleration_mean,center_acceleration_max,center_acceleration_std,vertical_range,vertical_drop,sudden_vertical_change,torso_angle_mean,torso_angle_max,torso_angle_std,body_height_change,body_height_range,mean_joint_speed,max_joint_speed,std_joint_speed,instability_score,rf_prob_low,rf_prob_moderate,rf_prob_high,stgcn_logit_low,stgcn_logit_moderate,stgcn_logit_high,split,dataset,risk_level
S001C001P002R002A009,0.02024456,0.15701261,0.019972889,0.02170396,0.123838164,0.02074961,0.5192337,-0.3662859,0.13658226,6.5494356,23.727236,6.2113023,0.99744034,1.957273,0.04358778,0.5293699,0.055794273,0.07576716,0.9947748338341073,0.0016061185468451242,0.003619047619047619,9.588096618652344,-5.133841514587402,-5.936410903930664,test,NTU,low_risk
S001C001P002R002A042,0.031839587,0.09878006,0.019993851,0.039276596,0.13529314,0.031464174,0.43259528,0.08997911,0.07774261,6.394964,14.296818,3.4486194,-0.051862717,0.52499723,0.07133662,0.96769005,0.08869626,0.108690105,0.21792806010476415,0.7009433871958632,0.08112855269937258,-0.8129947781562805,2.447246789932251,-1.7137651443481445,test,NTU,moderate_risk
S001C001P002R002A043,0.033820204,0.21799637,0.0359312,0.034003798,0.18690805,0.03814775,0.4133112,0.15236676,0.13598722,9.67048,20.423204,6.257243,-1.2459893,1.7322063,0.06373169,1.2208906,0.08120907,0.11714027,0.400128255379426,0.4670795517941544,0.13279219282641935,-1.200027346611023,0.8794434666633606,-0.23505498468875885,test,NTU,high_risk
S001C001P003R001A008,0.04958839,0.3199334,0.06945804,0.08415261,0.61233884,0.11044482,0.71683735,0.34873143,0.27777737,4.3938704,17.804443,3.7171073,-0.9363675,2.3779645,0.09638541,1.0756313,0.14315929,0.21261732,0.5619631735001023,0.3381645496367255,0.09987227686317159,6.432869911193848,-4.562830448150635,-3.4052979946136475,test,NTU,low_risk
S001C001P003R001A009,0.0264384,0.17888556,0.024832996,0.035942364,0.19726908,0.032089252,0.5200236,-0.32710794,0.086747706,7.4089937,15.760731,5.2705846,0.8420081,2.3494604,0.056854337,0.8091867,0.08286435,0.107697345,0.9921725687333652,0.0031222933268725233,0.004705137939762086,5.83751916885376,-3.004014253616333,-3.84196138381958,test,NTU,low_risk
S001C001P003R001A042,0.01763912,0.04639292,0.011014642,0.022863554,0.07116962,0.015994824,0.084375024,0.013966203,0.039924324,3.277334,8.705841,2.2937746,-0.049653053,0.36564016,0.044234157,0.40563336,0.054897945,0.06591259,0.0017272147864882093,0.9982727852135118,0.0,-0.8619022965431213,3.5542962551116943,-2.2522687911987305,test,NTU,moderate_risk
S001C001P003R001A043,0.038933296,0.23785701,0.045737304,0.044705853,0.31785232,0.05732928,0.5455365,0.4089141,0.15729505,25.996086,83.27896,28.180222,-0.120812416,2.9634738,0.084263936,2.5886326,0.1574946,0.2032319,0.5799786152708926,0.14013120290704978,0.2798901818220575,-1.9598681926727295,-1.4319567680358887,1.7704107761383057,test,NTU,high_risk
S001C001P003R002A008,0.04370294,0.35430542,0.05818764,0.060715437,0.37273216,0.08075996,1.0510192,0.38794273,0.33364403,11.102154,43.452587,8.369998,-1.0597596,2.5414083,0.08690708,1.2675661,0.13027982,0.18846747,0.8590817831981424,0.08610177756384854,0.05481643923800907,6.23779821395874,-5.438090801239014,-2.804335594177246,test,NTU,low_risk
S001C001P003R002A009,0.020786291,0.09740143,0.01992672,0.024008764,0.11667786,0.021467054,0.58504033,-0.34317994,0.07749498,8.403131,17.485933,5.366299,1.0834298,2.2220078,0.043194678,0.5673102,0.05552741,0.07545413,0.9983333333333333,0.0,0.0016666666666666668,7.602688312530518,-4.240664958953857,-4.696072101593018,test,NTU,low_risk
S001C001P003R002A042,0.40623608,2.2414098,0.3411712,0.689642,2.9040835,0.51008385,2.4017432,0.5427763,1.1860127,27.268661,88.03964,24.575602,0.85654354,8.754095,0.888628,9.960509,1.2055136,1.5466847,0.5127843041377882,0.30868691404554754,0.17852878181666418,0.09323800355195999,-5.168434143066406,1.7985951900482178,test,NTU,moderate_risk
S001C001P003R002A043,0.23473191,0.7196502,0.17233883,0.30527642,0.8479793,0.20889203,2.4651709,-0.07391167,0.49972445,66.1623,89.917244,22.064463,-0.054320335,6.377663,0.57272416,7.3593335,0.7903197,0.9626585,0.5652098976974651,0.371704610848968,0.06308549145356676,-1.3702120780944824,-5.800087928771973,3.348524332046509,test,NTU,high_risk
S001C001P004R001A008,0.033991285,0.24277657,0.043579172,0.044438757,0.449959,0.07281005,0.7007345,0.4931184,0.15001142,10.366652,36.03278,7.2740707,-1.2494602,1.8067458,0.062293246,0.6389027,0.08495581,0.12853499,0.7880783350103723,0.15028074121456297,0.06164092377506446,4.990241527557373,-2.559962749481201,-3.4868290424346924,test,NTU,low_risk
S001C001P004R001A009,0.020901985,0.11926792,0.02349503,0.020880757,0.14815868,0.022413544,0.59140956,-0.41176894,0.0918985,11.170396,31.585285,7.477173,1.4626999,1.985765,0.03656105,0.5668052,0.053704828,0.07719986,0.9983333333333333,0.0,0.0016666666666666668,7.135556697845459,-5.245427131652832,-3.542048215866089,test,NTU,low_risk
S001C001P004R001A042,0.019417994,0.06760615,0.01593613,0.022943463,0.08510714,0.019276178,0.12859648,0.059954822,0.051813126,5.2311683,17.64134,4.2389927,-0.35468817,0.7229147,0.046183523,0.9170262,0.069071464,0.08500759,0.009888699750891232,0.9901113002491087,0.0,-0.32099249958992004,3.943427562713623,-3.0253303050994873,test,NTU,moderate_risk
S001C001P004R001A043,0.020739358,0.11990822,0.023679301,0.022058344,0.13284823,0.028817678,0.51647407,0.40611124,0.08386022,24.400887,71.532936,27.715506,-2.3207195,2.8971782,0.04570843,0.55544704,0.06516464,0.08884394,0.05985009946971206,0.36260152488841174,0.5775483756418763,-2.037344217300415,-1.1503922939300537,1.6095705032348633,test,NTU,high_risk
S001C001P004R002A008,0.02867701,0.33038002,0.048170425,0.031222198,0.28651792,0.046882708,1.0782049,0.48816666,0.32529357,4.7708025,26.600344,5.263488,-1.6794405,2.8227398,0.055144206,0.7456055,0.09151605,0.13968647,0.8004683077071343,0.07728268080839398,0.12224901148447145,7.0259222984313965,-5.512444496154785,-3.5303397178649902,test,NTU,low_risk
S001C001P004R002A009,0.018540634,0.11196119,0.019973239,0.016525608,0.0683556,0.016633559,0.5894416,-0.43257415,0.09694657,5.491909,21.702324,6.323137,1.6183891,2.4467182,0.037517965,0.7557757,0.05474317,0.07471641,0.9983938814531549,0.0016061185468451242,0.0,7.967460632324219,-4.373109817504883,-4.975915431976318,test,NTU,low_risk
S001C001P004R002A042,0.030516509,0.18646921,0.031989884,0.043242324,0.20891814,0.048370037,0.18208134,0.04545355,0.09826064,3.9672227,18.058159,3.5100944,-0.3397808,1.2445154,0.06903708,1.147012,0.1086145,0.14060438,0.025348846323210418,0.9519038058562649,0.022747347820524844,-1.0338940620422363,3.6411757469177246,-2.1761696338653564,test,NTU,moderate_risk
S001C001P004R002A043,0.020520471,0.09349274,0.021938892,0.019956542,0.11612994,0.024641238,0.399114,0.33755028,0.075665355,20.595043,63.724815,21.26198,-2.7921495,2.8812764,0.044863205,0.4898457,0.06366889,0.08560778,0.039524396128733666,0.39821792799981365,0.5622576758714526,-2.7480928897857666,-1.2114806175231934,2.2693824768066406,test,NTU,high_risk
S001C001P005R001A008,0.015968345,0.09439874,0.016107464,0.011560599,0.080709405,0.013927493,0.5508987,0.45953435,0.051871777,5.0546203,12.624975,3.2353797,-1.8582954,2.0645819,0.028640598,0.32270056,0.03700237,0.053109832,0.22542306315584298,0.6754985288394391,0.0990784080047181,3.7412774562835693,-2.3469955921173096,-2.5178487300872803,test,NTU,low_risk
S001C001P005R001A009,0.015946522,0.06939721,0.016121091,0.011412048,0.07616961,0.013464668,0.53555256,-0.5062942,0.051609457,5.0722127,16.731123,4.658123,1.9379482,2.0859203,0.030553864,0.289185,0.038392987,0.05451408,0.9941715640787708,0.0035931539333951953,0.0022352819878337974,5.036118507385254,-2.941734552383423,-3.2867207527160645,test,NTU,low_risk
S001C001P005R001A042,0.016830068,0.066931516,0.012930299,0.02102959,0.0911022,0.015778588,0.14913934,0.09627682,0.060621977,6.1450667,20.409145,6.414236,-0.3504076,0.45067072,0.041341968,0.5681681,0.052089006,0.0650193,0.025951472628817012,0.9710525859929345,0.002995941378248509,-1.3045159578323364,3.320948600769043,-1.740654706954956,test,NTU,moderate_risk
S001C001P005R001A043,0.026958046,0.087043814,0.022791391,0.025441386,0.09927107,0.02165156,0.8366544,0.6321025,0.08520326,16.883238,52.654522,18.599876,-2.4639742,3.3923054,0.061395567,0.9177048,0.09494521,0.1177366,0.023366411797424578,0.07389466961983691,0.9027389185827382,-1.967104434967041,-1.9642622470855713,2.0651049613952637,test,NTU,high_risk
S001C001P005R002A008,0.01739464,0.06628916,0.016520359,0.016162025,0.068274006,0.016468633,0.46538997,0.33224875,0.04916215,9.408834,30.304834,7.183314,-1.6085072,2.2419682,0.03412674,0.6227853,0.04854584,0.0650662,0.5292346098525349,0.3663101614656171,0.104455228681848,4.984118461608887,-2.5647268295288086,-3.4483091831207275,test,NTU,low_risk
S001C001P005R002A009,0.013691763,0.06406532,0.011736356,0.009871068,0.03667976,0.009666396,0.3852017,-0.36329007,0.025436282,6.6232805,13.135584,3.33653,1.7821584,2.0357594,0.025130775,0.3195011,0.030466305,0.04220266,0.98435948503142,0.015640514968579957,0.0,4.709447383880615,-2.2259023189544678,-3.442356824874878,test,NTU,low_risk
S001C001P005R002A042,0.023622243,0.16907938,0.021139799,0.030752849,0.17905144,0.0271492,0.15652019,0.064992785,0.049533665,10.143786,25.38526,7.4706936,-0.33462572,0.828279,0.056022137,0.7039709,0.06492313,0.08606293,0.009719777222096541,0.9712456508170962,0.01903457196080713,-1.4174585342407227,2.984989643096924,-1.4494972229003906,test,NTU,moderate_risk
S001C001P005R002A043,0.024796266,0.15862238,0.0253128,0.0267912,0.13969824,0.028251085,0.5978898,0.5838008,0.105879664,21.929277,54.821518,15.370164,-2.9714327,3.0835164,0.06426362,1.8141643,0.109085776,0.13439858,0.11783284714406358,0.03224064843981393,0.8499265044161223,-2.050187110900879,-1.3667960166931152,1.8486402034759521,test,NTU,high_risk
S001C001P006R001A008,0.012428535,0.07627792,0.016505798,0.011003129,0.084456585,0.0145386765,0.474551,0.44927278,0.060988724,6.1184554,20.193258,5.7010155,-1.5812478,1.9242749,0.02365273,0.34418663,0.033193428,0.049699225,0.581320811025736,0.37196071088395255,0.04671847809031126,5.201686859130859,-2.5841259956359863,-3.6282591819763184,test,NTU,low_risk
S001C001P006R001A009,0.013400616,0.08355705,0.015317202,0.011059009,0.0692721,0.012937404,0.5473701,-0.49078852,0.057955265,7.9146557,24.499502,7.2151694,1.8655152,2.2597272,0.025031894,0.29842436,0.033213984,0.048531186,0.9834828344882784,0.010908433353871004,0.005608732157850546,6.876079082489014,-4.077104568481445,-4.060139179229736,test,NTU,low_risk
S001C001P006R001A042,0.02798178,0.09235022,0.015811352,0.017955309,0.092986636,0.015394998,0.28384167,0.07750869,0.05049026,8.69933,18.369038,5.641794,-0.069314,0.48167562,0.06194078,0.88627815,0.06643505,0.0822464,0.03635094758446946,0.9506827036367671,0.012966348778763393,-0.43956559896469116,2.7725632190704346,-2.1966967582702637,test,NTU,moderate_risk
S001C001P006R001A043,0.02163334,0.14324199,0.026377682,0.01945622,0.14983056,0.025917279,0.32262427,0.2805339,0.13145697,34.5457,81.19091,33.381706,-1.3971405,2.1678746,0.047741406,0.78252184,0.0729473,0.09932499,0.11457733534103648,0.0707293201534379,0.8146933445055258,-2.949463129043579,-3.2607812881469727,3.6210384368896484,test,NTU,high_risk
S001C001P006R002A008,0.014820336,0.08131866,0.017469147,0.012766143,0.07861154,0.014980835,0.48884505,0.47223377,0.061442077,6.369565,21.563938,6.29506,-1.7035017,2.3286562,0.029277427,0.5266854,0.04411019,0.06157934,0.37302028532455184,0.5200865724741345,0.10689314220131357,7.163514137268066,-4.370904445648193,-4.283530235290527,test,NTU,low_risk
S001C001P006R002A009,0.018389996,0.11989721,0.024095103,0.015724966,0.09902409,0.019241465,0.6132792,-0.46250647,0.08191997,7.584453,33.680485,9.342973,1.9594975,2.99328,0.037408933,0.42543313,0.055445034,0.07954013,0.9658502506523079,0.01270293525944101,0.021446814088251002,7.732268810272217,-4.4604668617248535,-4.669181823730469,test,NTU,low_risk
S001C001P006R002A042,0.024493247,0.09457537,0.016180815,0.018132742,0.072558515,0.014683396,0.28444296,0.07248294,0.057581425,9.297345,23.413317,7.320227,-0.445549,0.8266449,0.056914423,0.6140239,0.0675031,0.083683915,0.038654903601178466,0.9405834515425526,0.02076164485626896,-1.1782004833221436,2.618927001953125,-1.4207665920257568,test,NTU,moderate_risk
S001C001P006R002A043,0.034836184,0.23748109,0.04791808,0.03191128,0.43692818,0.06445306,0.69218034,0.13807702,0.2337435,6.4423842,27.681927,6.5854826,-2.5769572,3.0744784,0.064748764,0.79946184,0.09473651,0.1426546,0.09571098140200576,0.12002183864658653,0.7842671799514076,-1.9024699926376343,-1.0952844619750977,1.6063863039016724,test,NTU,high_risk
S001C001P007R001A008,0.021176057,0.0952818,0.018318828,0.023650846,0.10260436,0.020393558,0.46155867,0.37301302,0.077094436,14.494952,32.663593,10.367704,-1.1818371,2.2641873,0.046880063,0.67527056,0.055348065,0.07366689,0.8484534328796406,0.039788641935750726,0.11175792518460885,5.144646644592285,-3.3629531860351562,-3.178387403488159,test,NTU,low_risk
S001C001P007R001A009,0.015537097,0.06496491,0.013527528,0.013801729,0.091457725,0.015149191,0.49836257,-0.47019655,0.043057024,14.514159,28.362194,8.376723,1.4187746,2.1022382,0.032215968,0.30116513,0.0329182,0.046445727,0.9785529018444945,0.016505032664321552,0.00494206549118388,6.70982027053833,-3.9091131687164307,-4.015263557434082,test,NTU,low_risk
S001C001P007R001A042,0.03962061,0.1548585,0.026251797,0.04736177,0.19773862,0.03696245,0.42955193,0.37432986,0.09709567,9.5525875,27.27219,6.5374002,-0.82454157,1.6310282,0.08632545,1.4002448,0.09799727,0.12424907,0.5750592290004115,0.3675523174299528,0.057388453569635525,-0.6330559253692627,2.3658885955810547,-1.6836209297180176,test,NTU,moderate_risk
S001C001P007R001A043,0.033486936,0.16121131,0.031750545,0.031813078,0.2752097,0.04063688,0.7284873,0.44477007,0.11876154,22.74692,65.08492,20.46175,-2.5711858,3.950162,0.06750754,1.2433047,0.101101965,0.13285251,0.010412409494510302,0.0060268947388709615,0.9835606957666186,-1.4979603290557861,-1.9270085096359253,1.6694636344909668,test,NTU,high_risk
S001C001P007R002A008,0.0275206,0.17863424,0.026962256,0.03093746,0.14637487,0.026529444,0.5354639,0.40406772,0.16505685,8.823769,43.89779,10.954625,-1.1849113,2.001089,0.06034578,0.63883376,0.07307125,0.10003351,0.9109675045275043,0.026164044687514442,0.06286845078498131,4.289103031158447,-1.894589900970459,-3.3256916999816895,test,NTU,low_risk
S001C001P007R002A009,0.019893605,0.15786973,0.022370735,0.018671548,0.12228995,0.022832477,0.5764828,-0.5179016,0.13378501,5.8214116,18.849682,4.7998767,1.439672,2.3129566,0.03803648,0.4814545,0.043894153,0.06626489,0.9973333333333333,0.0,0.0026666666666666666,10.294066429138184,-6.061572551727295,-5.920958042144775,test,NTU,low_risk
S001C001P007R002A042,0.043258227,0.16033006,0.03638654,0.062362127,0.27549747,0.055770256,0.37900394,0.2011671,0.15027148,11.930977,43.516678,11.205415,-0.7507081,1.793499,0.09538342,1.3423467,0.11589201,0.15227854,0.11496311349839855,0.803139496619133,0.08189738988246854,-0.2355690896511078,1.6521024703979492,-1.5813339948654175,test,NTU,moderate_risk
S001C001P007R002A043,0.02862156,0.09928567,0.020870019,0.028104085,0.11560852,0.025204873,0.51824105,0.42184302,0.06524813,33.72425,89.21869,35.24746,-2.3752956,2.8072364,0.07011242,0.7686088,0.08056975,0.101439774,0.05825917474341885,0.15387422427957656,0.7878666009770046,-2.7647666931152344,-2.8110501766204834,3.2277464866638184,test,NTU,high_risk
S001C001P008R001A008,0.043247044,0.30583757,0.057731833,0.049375806,0.29977214,0.05998549,0.80053365,0.30248398,0.18054318,7.845897,25.156143,6.561481,-1.2204695,2.9955375,0.077322826,1.0833777,0.12135908,0.17909092,0.8433788684152689,0.06181193738199737,0.0948091942027333,4.367029190063477,-4.803475856781006,-1.5716851949691772,test,NTU,low_risk
S001C001P008R001A009,0.03583502,0.3073474,0.05048315,0.038940575,0.32854584,0.055367768,0.5647285,-0.28828478,0.1361526,10.839258,42.749157,13.902494,1.3620458,3.057563,0.06980732,1.197042,0.120688275,0.17117143,0.9295216581189514,0.030272533459458562,0.04020580842159015,5.460273265838623,-3.602785110473633,-3.058326482772827,test,NTU,low_risk
S001C001P008R001A042,0.041288476,0.15484598,0.02926847,0.065549634,0.19309072,0.039332792,0.14395499,0.035939813,0.10950725,5.1935186,12.062184,2.0961833,0.49564314,1.0412138,0.08818584,1.358444,0.14815244,0.17742091,0.09102194903302939,0.9027000385314481,0.006278012435522635,7.314324378967285,-5.359662055969238,-3.9419169425964355,test,NTU,moderate_risk
S001C001P008R001A043,0.021847092,0.07076032,0.014562725,0.025911624,0.08756042,0.016060323,0.15218817,0.0058993995,0.046058714,5.3171687,10.703189,1.8222659,-0.2349639,0.5537348,0.044137225,0.5396774,0.06927056,0.083833285,0.005985591161333811,0.994014408838666,0.0,6.191102981567383,-4.672679424285889,-3.348188877105713,test,NTU,high_risk
S001C001P008R002A008,0.0189164,0.09332381,0.018543078,0.017378168,0.09562384,0.018092858,0.38862145,0.2752337,0.084093004,2.6956756,10.515339,1.9061182,-1.2284265,2.058988,0.03510747,0.81390417,0.04833196,0.06687504,0.8658769119494273,0.11054251822235651,0.02358056982821607,4.410618782043457,-2.650322198867798,-2.8780019283294678,test,NTU,low_risk
S001C001P008R002A009,0.011547581,0.07869436,0.011763446,0.007954416,0.040525448,0.008596361,0.3458504,-0.22513229,0.03753972,2.729816,5.244374,1.3463663,1.5472789,1.9529433,0.023971228,0.27989548,0.025754098,0.037517544,0.985204001551184,0.014795998448815932,0.0,2.5897891521453857,-0.7437554001808167,-2.3576712608337402,test,NTU,low_risk
S001C001P008R002A042,0.051098324,0.25983065,0.04517409,0.07633081,0.40451482,0.06570526,0.3080771,0.20844519,0.20477533,11.918293,32.42505,9.286783,-0.26303768,2.0429413,0.11536952,2.2413492,0.14009917,0.18527326,0.08118032470174842,0.8950516701425518,0.023768005155699712,-0.29491889476776123,1.4657427072525024,-1.3512918949127197,test,NTU,moderate_risk
S001C001P008R002A043,0.022198638,0.10094278,0.021135952,0.021193974,0.11013905,0.023235532,0.43893814,0.39496127,0.08402443,33.702404,88.023636,23.758587,-0.54133844,1.3471808,0.060794983,1.073921,0.09328486,0.11442082,0.17095902539275273,0.06493692926868229,0.764104045338565,-2.9912431240081787,-4.956164836883545,4.646961688995361,test,NTU,high_risk
S001C002P001R001A008,0.026256058,0.21579635,0.024211038,0.026699327,0.19997466,0.02732781,0.5034914,0.20748502,0.096328974,8.701145,24.537962,7.1058655,-1.3033605,1.9028597,0.048411816,1.934778,0.08837681,0.112587854,0.6619811973191524,0.1647073630862118,0.17331143959463544,4.430047035217285,-1.9273508787155151,-3.4317429065704346,val,NTU,low_risk
S001C002P001R001A009,0.026456838,0.1054551,0.0224357,0.028926343,0.11905703,0.02393257,0.5015937,-0.33258653,0.061280996,10.24407,29.751883,7.7816544,1.3752985,2.275789,0.052180737,0.77605623,0.075683095,0.0981188,0.9961716592309325,0.0016061185468451242,0.0022222222222222222,5.156382083892822,-2.6162805557250977,-3.5193943977355957,val,NTU,low_risk
S001C002P001R001A042,0.03098254,0.14556593,0.023310574,0.044012833,0.17702489,0.031433202,0.17861575,0.0989691,0.09611511,3.3968158,9.973793,2.6302896,-0.26894665,0.652545,0.07567901,1.4231799,0.09958832,0.12289889,0.0028928061843376714,0.9902185312163713,0.0068886625992908325,-1.4384934902191162,3.0484561920166016,-1.484910488128662,val,NTU,moderate_risk
S001C002P001R001A043,0.033065487,0.12019473,0.022627627,0.03691556,0.11918323,0.024760738,0.74567425,0.7151054,0.08868706,22.815447,57.433712,18.794453,-2.5512698,2.655364,0.07052194,1.0636631,0.08515253,0.10778016,0.19294387558760198,0.12170935296268631,0.6853467714497115,-2.826676607131958,-2.7471868991851807,3.277170181274414,val,NTU,high_risk
S001C002P001R002A008,0.030182179,0.15443009,0.028923279,0.036435865,0.21558213,0.04358758,0.64049757,0.5594454,0.0910455,4.6574583,15.492499,4.221698,-1.5162754,1.7375312,0.05283772,1.3813952,0.08802672,0.11695,0.9175833016948568,0.04931712929844127,0.033099569006701905,5.501142978668213,-3.6323623657226562,-3.1639788150787354,val,NTU,low_risk
S001C002P001R002A009,0.022519706,0.11463369,0.019355085,0.02562414,0.14279547,0.026716506,0.5750778,-0.4479287,0.10628718,4.03355,11.113648,3.0852928,1.5725999,2.3302584,0.04693093,0.99695337,0.06808834,0.087443426,0.9915873015873016,0.0,0.008412698412698412,8.942054748535156,-5.270931243896484,-5.107008457183838,val,NTU,low_risk
S001C002P001R002A042,0.026195468,0.10562103,0.02043977,0.037551455,0.19316053,0.030103626,0.11438048,-0.0013074279,0.06738949,2.5945737,7.7545567,1.7663989,-0.14006996,0.6452074,0.06011682,0.4642386,0.066050954,0.08649072,0.001871872346507268,0.9904616885859991,0.007666439067493674,-0.8663642406463623,3.659393787384033,-2.30475115776062,val,NTU,moderate_risk
S001C002P001R002A043,0.042592607,0.23992103,0.044420637,0.047291487,0.31617898,0.055353407,1.0130547,0.9021408,0.12650554,13.236963,43.89428,13.026973,-3.1163368,3.4517782,0.08641265,1.3184873,0.1258881,0.17030874,0.022550893798864796,0.020783957155530875,0.9566651490456045,-1.6900756359100342,-3.4680426120758057,2.817842721939087,val,NTU,high_risk
S001C002P002R001A008,0.023252495,0.08823239,0.021475878,0.023086714,0.10162567,0.019873764,0.50970423,0.40882763,0.06223035,7.417304,19.04863,6.0666676,-1.0328774,1.7818077,0.045120087,0.6535788,0.0698257,0.091301575,0.9962753988245172,0.001057934508816121,0.0026666666666666666,2.5534794330596924,-2.4285595417022705,-1.4501909017562866,train,NTU,low_risk
S001C002P002R001A009,0.167545,0.52218074,0.106322914,0.19002208,0.63402337,0.13053624,1.0693989,-0.88871324,0.36883968,33.73007,89.61796,26.327187,0.004065275,4.746356,0.39745033,2.7396755,0.32845655,0.43477947,0.8018406667017218,0.15895599306017863,0.039203340238099516,2.6332740783691406,-2.3972368240356445,-1.474678874015808,train,NTU,low_risk
