sequence_id,dataset,action_label,risk_level,mean_torso_inclination,std_torso_inclination,knee_hip_drop_ratio,ankle_motion,mean_body_height,std_body_height_norm,mean_joint_speed,std_hip_y,posture
S001C001P002R001A043,NTU,falling_down,high_risk,12.5957,11.3579,0.2405,0.0134,4.9897,0.1546,0.0651,0.2511,Lying
S001C001P002R002A008,NTU,sit_down,low_risk,9.0559,7.7662,0.1443,0.008,4.9898,0.1206,0.0426,0.088,Sitting
S001C001P002R002A009,NTU,stand_up,low_risk,6.5494,6.2113,0.1439,0.0074,5.1335,0.1344,0.0436,0.0519,Standing
S001C001P002R002A042,NTU,staggering,moderate_risk,6.395,3.4486,0.2216,0.015,5.7243,0.0226,0.0713,0.0182,Walking
S001C001P002R002A043,NTU,falling_down,high_risk,9.6705,6.2572,0.214,0.0102,5.1119,0.1286,0.0637,0.2765,Lying
S001C001P003R001A008,NTU,sit_down,low_risk,4.3939,3.7171,0.1518,0.0186,4.3587,0.1522,0.0964,0.1266,Sitting
S001C001P003R001A009,NTU,stand_up,low_risk,7.409,5.2706,0.1483,0.0121,4.7843,0.1519,0.0569,0.103,Standing
S001C001P003R001A042,NTU,staggering,moderate_risk,3.2773,2.2938,0.2132,0.009,5.7467,0.0113,0.0442,0.0121,Walking
S001C001P003R001A043,NTU,falling_down,high_risk,25.9961,28.1802,0.2677,0.0231,5.2523,0.174,0.0843,0.3488,Lying
S001C001P003R002A008,NTU,sit_down,low_risk,11.1022,8.37,0.1589,0.0138,4.7488,0.1698,0.0869,0.1593,Sitting
S001C001P003R002A009,NTU,stand_up,low_risk,8.4031,5.3663,0.1575,0.0078,4.9565,0.1558,0.0432,0.069,Standing
S001C001P003R002A042,NTU,staggering,moderate_risk,27.2687,24.5756,0.309,0.1331,9.8697,0.1382,0.8886,0.6481,Walking
S001C001P003R002A043,NTU,falling_down,high_risk,66.1623,22.0645,0.2207,0.08,10.4776,0.1624,0.5727,0.5996,Lying
S001C001P004R001A008,NTU,sit_down,low_risk,10.3667,7.2741,0.1867,0.0113,4.7641,0.1306,0.0623,0.0949,Sitting
S001C001P004R001A009,NTU,stand_up,low_risk,11.1704,7.4772,0.1078,0.0072,4.183,0.145,0.0366,0.0513,Standing
S001C001P004R001A042,NTU,staggering,moderate_risk,5.2312,4.239,0.2422,0.0118,5.5108,0.0374,0.0462,0.027,Walking
S001C001P004R001A043,NTU,falling_down,high_risk,24.4009,27.7155,0.2329,0.011,4.8467,0.2388,0.0457,0.2656,Lying
S001C001P004R002A008,NTU,sit_down,low_risk,4.7708,5.2635,0.1915,0.0104,5.1122,0.2007,0.0551,0.1619,Sitting
S001C001P004R002A009,NTU,stand_up,low_risk,5.4919,6.3231,0.1512,0.0059,5.1822,0.1723,0.0375,0.0959,Standing
S001C001P004R002A042,NTU,staggering,moderate_risk,3.9672,3.5101,0.2571,0.0159,5.7325,0.0552,0.069,0.0772,Walking
S001C001P004R002A043,NTU,falling_down,high_risk,20.595,21.262,0.2319,0.0102,5.1367,0.2288,0.0449,0.1895,Lying
S001C001P005R001A008,NTU,sit_down,low_risk,5.0546,3.2354,0.2061,0.0058,5.5598,0.1549,0.0286,0.0458,Sitting
S001C001P005R001A009,NTU,stand_up,low_risk,5.0722,4.6581,0.2082,0.0059,5.6746,0.1516,0.0306,0.0474,Standing
S001C001P005R001A042,NTU,staggering,moderate_risk,6.1451,6.4142,0.2709,0.0075,6.1533,0.0167,0.0413,0.0261,Walking
S001C001P005R001A043,NTU,falling_down,high_risk,16.8832,18.5999,0.2405,0.0182,4.9767,0.2622,0.0614,0.1797,Lying
S001C001P005R002A008,NTU,sit_down,low_risk,9.4088,7.1833,0.1943,0.0057,5.1271,0.1675,0.0341,0.0953,Sitting
S001C001P005R002A009,NTU,stand_up,low_risk,6.6233,3.3365,0.209,0.0043,5.2911,0.154,0.0251,0.0591,Standing
S001C001P005R002A042,NTU,staggering,moderate_risk,10.1438,7.4707,0.277,0.0085,6.0375,0.0351,0.056,0.0685,Walking
S001C001P005R002A043,NTU,falling_down,high_risk,21.9293,15.3702,0.247,0.0159,4.8204,0.2648,0.0643,0.0735,Lying
S001C001P006R001A008,NTU,sit_down,low_risk,6.1185,5.701,0.159,0.0052,5.0407,0.1544,0.0237,0.0508,Sitting
S001C001P006R001A009,NTU,stand_up,low_risk,7.9147,7.2152,0.1376,0.0059,4.6911,0.1844,0.025,0.0494,Standing
S001C001P006R001A042,NTU,staggering,moderate_risk,8.6993,5.6418,0.2618,0.0105,5.5675,0.0205,0.0619,0.0369,Walking
S001C001P006R001A043,NTU,falling_down,high_risk,34.5457,33.3817,0.3598,0.0169,5.0438,0.1561,0.0477,0.3554,Lying
S001C001P006R002A008,NTU,sit_down,low_risk,6.3696,6.2951,0.1779,0.006,5.1415,0.1663,0.0293,0.0804,Sitting
S001C001P006R002A009,NTU,stand_up,low_risk,7.5845,9.343,0.1629,0.0069,5.0759,0.2076,0.0374,0.1117,Standing
S001C001P006R002A042,NTU,staggering,moderate_risk,9.2973,7.3202,0.2615,0.0107,5.4576,0.0452,0.0569,0.0509,Walking
S001C001P006R002A043,NTU,falling_down,high_risk,6.4424,6.5855,0.256,0.0128,4.5814,0.2657,0.0647,0.2129,Lying
S001C001P007R001A008,NTU,sit_down,low_risk,14.495,10.3677,0.1375,0.0097,5.0729,0.1408,0.0469,0.1016,Sitting
S001C001P007R001A009,NTU,stand_up,low_risk,14.5142,8.3767,0.1126,0.0075,4.9785,0.1341,0.0322,0.0504,Standing
S001C001P007R001A042,NTU,staggering,moderate_risk,9.5526,6.5374,0.2373,0.0175,5.5338,0.0801,0.0863,0.0658,Walking
S001C001P007R001A043,NTU,falling_down,high_risk,22.7469,20.4618,0.2187,0.0188,4.2974,0.3535,0.0675,0.2447,Lying
S001C001P007R002A008,NTU,sit_down,low_risk,8.8238,10.9546,0.2018,0.0113,5.1193,0.1284,0.0603,0.1731,Sitting
S001C001P007R002A009,NTU,stand_up,low_risk,5.8214,4.7999,0.1377,0.0081,5.1097,0.1674,0.038,0.0546,Standing
S001C001P007R002A042,NTU,staggering,moderate_risk,11.931,11.2054,0.2368,0.0182,5.5112,0.0913,0.0954,0.0874,Walking
S001C001P007R002A043,NTU,falling_down,high_risk,33.7243,35.2475,0.2558,0.0185,5.1439,0.2101,0.0701,0.4083,Lying
S001C001P008R001A008,NTU,sit_down,low_risk,7.8459,6.5615,0.1493,0.0151,4.2578,0.2413,0.0773,0.1226,Sitting
S001C001P008R001A009,NTU,stand_up,low_risk,10.8393,13.9025,0.1355,0.0101,4.1301,0.2241,0.0698,0.2092,Standing
S001C001P008R001A042,NTU,staggering,moderate_risk,5.1935,2.0962,0.0505,0.0253,4.2417,0.0397,0.0882,0.0385,Walking
S001C001P008R001A043,NTU,falling_down,high_risk,5.3172,1.8223,0.0503,0.0117,4.2228,0.0246,0.0441,0.0274,Lying
S001C001P008R002A008,NTU,sit_down,low_risk,2.6957,1.9061,0.1889,0.006,4.9093,0.1342,0.0351,0.1513,Sitting
S001C001P008R002A009,NTU,stand_up,low_risk,2.7298,1.3464,0.1849,0.0038,4.8794,0.1598,0.024,0.1173,Standing
S001C001P008R002A042,NTU,staggering,moderate_risk,11.9183,9.2868,0.2486,0.0252,5.1325,0.0989,0.1154,0.1775,Walking
S001C001P008R002A043,NTU,falling_down,high_risk,33.7024,23.7586,0.3467,0.0256,4.9909,0.0763,0.0608,0.6844,Lying
S001C002P001R001A008,NTU,sit_down,low_risk,8.7011,7.1059,0.1518,0.0096,5.3846,0.1265,0.0484,0.0752,Sitting
S001C002P001R001A009,NTU,stand_up,low_risk,10.2441,7.7817,0.1407,0.011,5.1222,0.1505,0.0522,0.0927,Standing
S001C002P001R001A042,NTU,staggering,moderate_risk,3.3968,2.6303,0.2666,0.0136,5.9922,0.0248,0.0757,0.0372,Walking
S001C002P001R001A043,NTU,falling_down,high_risk,22.8154,18.7945,0.2456,0.0168,5.1257,0.2151,0.0705,0.1611,Lying
S001C002P001R002A008,NTU,sit_down,low_risk,4.6575,4.2217,0.1591,0.0076,4.8346,0.1411,0.0528,0.0455,Sitting
S001C002P001R002A009,NTU,stand_up,low_risk,4.0335,3.0853,0.1385,0.0061,4.5825,0.1804,0.0469,0.0943,Standing
S001C002P001R002A042,NTU,staggering,moderate_risk,2.5946,1.7664,0.2431,0.011,5.6892,0.0239,0.0601,0.0412,Walking
S001C002P001R002A043,NTU,falling_down,high_risk,13.237,13.027,0.2082,0.0316,3.9109,0.3591,0.0864,0.1453,Lying
S001C002P002R001A008,NTU,sit_down,low_risk,7.4173,6.0667,0.1458,0.0164,4.2137,0.1486,0.0451,0.0641,Sitting
S001C002P002R001A009,NTU,stand_up,low_risk,33.7301,26.3272,0.3947,0.1214,3.1417,0.3164,0.3975,0.3802,Standing
S001C002P002R001A042,NTU,staggering,moderate_risk,6.2787,5.8169,0.2087,0.0132,5.0997,0.0276,0.0655,0.0683,Walking
S001C002P002R001A043,NTU,falling_down,high_risk,9.3347,12.2437,0.1827,0.0206,4.7493,0.192,0.104,0.2565,Lying
S001C002P002R002A008,NTU,sit_down,low_risk,2.8712,1.9039,0.1627,0.0085,4.8019,0.1105,0.0535,0.1363,Sitting
S001C002P002R002A009,NTU,stand_up,low_risk,2.3071,1.8463,0.16,0.0058,5.2531,0.1331,0.0436,0.1037,Standing
S001C002P002R002A042,NTU,staggering,moderate_risk,7.0817,4.853,0.2185,0.014,5.6736,0.0239,0.0663,0.0202,Walking
S001C002P002R002A043,NTU,falling_down,high_risk,7.9338,6.7867,0.1545,0.0147,4.4394,0.2342,0.0806,0.1848,Lying
S001C002P003R001A008,NTU,sit_down,low_risk,45.8331,29.9468,0.1922,0.0359,3.8963,0.1127,0.1118,0.6489,Sitting
S001C002P003R001A009,NTU,stand_up,low_risk,7.8456,7.4865,0.1418,0.0181,4.9544,0.1558,0.0733,0.0538,Standing
S001C002P003R001A042,NTU,staggering,moderate_risk,4.1829,2.1757,0.2209,0.0102,5.7064,0.0149,0.0493,0.0168,Walking
S001C002P003R001A043,NTU,falling_down,high_risk,10.5957,10.9768,0.2963,0.012,4.8304,0.1828,0.0764,0.2767,Lying
S001C002P003R002A008,NTU,sit_down,low_risk,7.569,10.5827,0.1496,0.0164,4.5075,0.1745,0.0965,0.1341,Sitting
S001C002P003R002A009,NTU,stand_up,low_risk,3.2641,2.7153,0.1463,0.0066,4.6815,0.1552,0.0434,0.0666,Standing
S001C002P003R002A042,NTU,staggering,moderate_risk,3.8169,2.7719,0.2239,0.0082,5.5366,0.0192,0.032,0.0156,Walking
S001C002P003R002A043,NTU,falling_down,high_risk,10.0709,13.8834,0.2155,0.0143,4.7327,0.1711,0.0863,0.3547,Lying
S001C002P004R001A008,NTU,sit_down,low_risk,15.5852,15.8828,0.2145,0.0106,5.036,0.1579,0.0528,0.0955,Sitting
S001C002P004R001A009,NTU,stand_up,low_risk,13.3594,11.8648,0.114,0.0141,4.1176,0.1667,0.0449,0.0393,Standing
S001C002P004R001A042,NTU,staggering,moderate_risk,8.3004,5.9578,0.2253,0.0129,5.307,0.0293,0.0549,0.0274,Walking
S001C002P004R001A043,NTU,falling_down,high_risk,20.3503,20.8564,0.221,0.0144,4.8171,0.2252,0.0492,0.1604,Lying
S001C002P004R002A008,NTU,sit_down,low_risk,3.5687,2.8997,0.168,0.0079,4.3736,0.2201,0.046,0.1491,Sitting
S001C002P004R002A009,NTU,stand_up,low_risk,0.9027,0.5738,0.1234,0.0049,4.7647,0.163,0.0303,0.0781,Standing
S001C002P004R002A042,NTU,staggering,moderate_risk,3.745,3.0742,0.2346,0.0121,5.4362,0.0486,0.0474,0.0442,Walking
S001C002P004R002A043,NTU,falling_down,high_risk,7.6769,7.1495,0.2003,0.0111,4.7394,0.2311,0.051,0.1039,Lying
S001C002P005R001A008,NTU,sit_down,low_risk,7.0364,5.1685,0.1196,0.0101,5.0364,0.1798,0.0413,0.0342,Sitting
S001C002P005R001A009,NTU,stand_up,low_risk,7.6816,4.8164,0.1371,0.0112,5.0142,0.1488,0.0443,0.0381,Standing
S001C002P005R001A042,NTU,staggering,moderate_risk,8.817,6.2094,0.2584,0.0082,6.037,0.0139,0.0511,0.0253,Walking
S001C002P005R001A043,NTU,falling_down,high_risk,15.0641,14.8644,0.1937,0.0168,5.2338,0.2053,0.0597,0.1104,Lying
S001C002P005R002A008,NTU,sit_down,low_risk,1.5368,1.9771,0.1972,0.0266,5.5654,0.874,0.0904,0.8169,Sitting
S001C002P005R002A009,NTU,stand_up,low_risk,4.406,1.8492,0.1957,0.005,5.6777,0.1307,0.0259,0.0513,Standing
S001C002P005R002A042,NTU,staggering,moderate_risk,7.5414,5.8256,0.2455,0.0063,5.7583,0.0291,0.0385,0.057,Walking
S001C002P005R002A043,NTU,falling_down,high_risk,20.5804,18.6999,0.1896,0.0131,4.7881,0.2841,0.0535,0.1596,Lying
S001C002P006R001A008,NTU,sit_down,low_risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sitting
S001C002P006R001A009,NTU,stand_up,low_risk,12.3713,8.4724,0.1431,0.0072,4.4599,0.1772,0.0376,0.0607,Standing
S001C002P006R001A042,NTU,staggering,moderate_risk,7.7541,5.9687,0.2534,0.013,5.9119,0.0132,0.0889,0.0782,Walking
S001C002P006R001A043,NTU,falling_down,high_risk,35.8555,31.1689,0.3546,0.0151,5.174,0.1213,0.0438,0.3351,Lying
S001C002P006R002A008,NTU,sit_down,low_risk,2.1574,1.1571,0.1428,0.0049,4.7837,0.1695,0.0258,0.0723,Sitting
S001C002P006R002A009,NTU,stand_up,low_risk,2.3716,1.2535,0.1463,0.0045,4.7694,0.2049,0.0317,0.1431,Standing
S001C002P006R002A042,NTU,staggering,moderate_risk,8.051,7.0733,0.2437,0.01,5.2146,0.0544,0.0521,0.0423,Walking
S001C002P006R002A043,NTU,falling_down,high_risk,28.261,28.6358,0.2784,0.0146,4.5263,0.2025,0.0455,0.2968,Lying
S001C002P007R001A008,NTU,sit_down,low_risk,25.2414,18.8979,0.1665,0.0241,4.8207,0.1807,0.0717,0.16,Sitting
S001C002P007R001A009,NTU,stand_up,low_risk,18.0303,8.4472,0.1152,0.0134,4.7393,0.1313,0.0536,0.0584,Standing
S001C002P007R001A042,NTU,staggering,moderate_risk,16.1414,12.8707,0.2736,0.0121,6.1316,0.082,0.089,0.0946,Walking
S001C002P007R001A043,NTU,falling_down,high_risk,7.1307,6.1194,0.2156,0.0165,5.4446,0.2489,0.0899,0.2105,Lying
S001C002P007R002A008,NTU,sit_down,low_risk,5.1303,3.5926,0.1958,0.0091,5.0527,0.151,0.0582,0.1758,Sitting
S001C002P007R002A009,NTU,stand_up,low_risk,4.5641,2.1343,0.1306,0.0063,4.9,0.1503,0.0352,0.0813,Standing
S001C002P007R002A042,NTU,staggering,moderate_risk,8.8475,11.4728,0.2409,0.0134,5.098,0.1077,0.0753,0.1885,Walking
S001C002P007R002A043,NTU,falling_down,high_risk,16.1027,14.8703,0.2434,0.0128,4.4956,0.2965,0.062,0.2759,Lying
S001C002P008R001A008,NTU,sit_down,low_risk,27.2564,29.1415,0.1769,0.0147,4.3625,0.225,0.0679,0.2755,Sitting
S001C002P008R001A009,NTU,stand_up,low_risk,26.4423,22.8112,0.15,0.0111,4.6283,0.2171,0.0612,0.2433,Standing
S001C002P008R001A042,NTU,staggering,moderate_risk,25.3855,20.7456,0.245,0.0227,5.1737,0.1399,0.1241,0.2438,Walking
S001C002P008R001A043,NTU,falling_down,high_risk,34.5517,31.2252,0.278,0.0186,5.2899,0.1666,0.0713,0.3292,Lying
S001C002P008R002A008,NTU,sit_down,low_risk,8.0694,6.6223,0.1614,0.0062,4.9151,0.1315,0.0381,0.1161,Sitting
S001C002P008R002A009,NTU,stand_up,low_risk,3.0183,2.8257,0.1573,0.0044,4.8029,0.1547,0.0239,0.1104,Standing
S001C002P008R002A042,NTU,staggering,moderate_risk,15.5559,11.9214,0.2349,0.0188,4.9942,0.086,0.0962,0.1552,Walking
S001C002P008R002A043,NTU,falling_down,high_risk,10.2258,7.3728,0.2284,0.0177,4.7223,0.2115,0.0822,0.1835,Lying
S001C003P001R001A008,NTU,sit_down,low_risk,2.292,1.8228,0.1882,0.003,5.1957,0.1222,0.0254,0.1057,Sitting
S001C003P001R001A009,NTU,stand_up,low_risk,4.2616,3.7661,0.1651,0.0049,5.0782,0.1471,0.0331,0.1378,Standing
S001C003P001R001A042,NTU,staggering,moderate_risk,2.9105,2.2916,0.2386,0.0101,5.6315,0.0361,0.0488,0.0128,Walking
S001C003P001R001A043,NTU,falling_down,high_risk,4.5715,6.7481,0.1862,0.016,4.4244,0.2723,0.0762,0.1258,Lying
S001C003P001R002A008,NTU,sit_down,low_risk,6.2546,6.5031,0.2159,0.0149,4.9417,0.1903,0.0596,0.0396,Sitting
S001C003P001R002A009,NTU,stand_up,low_risk,9.9138,8.8467,0.1647,0.0106,4.9182,0.1913,0.0627,0.0832,Standing
S001C003P001R002A042,NTU,staggering,moderate_risk,9.0216,5.7921,0.2705,0.015,5.6879,0.0249,0.0745,0.0385,Walking
S001C003P001R002A043,NTU,falling_down,high_risk,12.6504,11.3721,0.2538,0.0375,4.0926,0.3422,0.1348,0.1645,Lying
S001C003P002R001A008,NTU,sit_down,low_risk,1.5903,1.8511,0.1432,0.004,4.7842,0.1252,0.0377,0.1262,Sitting
S001C003P002R001A009,NTU,stand_up,low_risk,4.2906,2.443,0.1644,0.0052,5.3137,0.1379,0.028,0.0875,Standing
S001C003P002R001A042,NTU,staggering,moderate_risk,8.521,4.881,0.2034,0.0117,5.4831,0.0209,0.0466,0.0166,Walking
S001C003P002R001A043,NTU,falling_down,high_risk,24.869,22.4306,0.1558,0.0209,4.853,0.1661,0.0658,0.1997,Lying
S001C003P002R002A008,NTU,sit_down,low_risk,37.2536,22.3569,0.0735,0.0305,5.3638,0.1073,0.1325,0.2858,Sitting
S001C003P002R002A009,NTU,stand_up,low_risk,12.0304,11.535,0.1698,0.0218,5.6739,0.1742,0.0787,0.0687,Standing
S001C003P002R002A042,NTU,staggering,moderate_risk,2.7261,2.1952,0.2253,0.0178,5.6795,0.029,0.0966,0.0587,Walking
S001C003P002R002A043,NTU,falling_down,high_risk,37.4973,33.8127,0.1747,0.031,4.4976,0.2215,0.0802,0.353,Lying
S001C003P003R001A008,NTU,sit_down,low_risk,8.1679,6.5765,0.1415,0.0207,4.617,0.1529,0.094,0.1559,Sitting
S001C003P003R001A009,NTU,stand_up,low_risk,5.7686,4.3783,0.1403,0.007,4.8434,0.1509,0.0448,0.0738,Standing
S001C003P003R001A042,NTU,staggering,moderate_risk,3.3437,2.8386,0.2223,0.01,5.4817,0.0127,0.0362,0.0173,Walking
S001C003P003R001A043,NTU,falling_down,high_risk,32.1001,31.5151,0.2581,0.0175,5.0938,0.0736,0.059,0.2812,Lying
S001C003P003R002A008,NTU,sit_down,low_risk,22.1517,22.214,0.1792,0.0228,4.1027,0.1753,0.0888,0.1798,Sitting
S001C003P003R002A009,NTU,stand_up,low_risk,9.9607,8.1791,0.148,0.0166,4.9413,0.1375,0.0636,0.0346,Standing
S001C003P003R002A042,NTU,staggering,moderate_risk,7.4589,4.9902,0.2299,0.0071,5.7295,0.0089,0.0449,0.0303,Walking
S001C003P003R002A043,NTU,falling_down,high_risk,32.8152,28.4732,0.2853,0.0203,4.7703,0.1711,0.0628,0.2747,Lying
S001C003P004R001A008,NTU,sit_down,low_risk,3.0922,1.7825,0.189,0.0062,4.9132,0.1278,0.0376,0.1088,Sitting
S001C003P004R001A009,NTU,stand_up,low_risk,1.0026,0.4955,0.1142,0.0049,4.5496,0.1445,0.0308,0.0884,Standing
S001C003P004R001A042,NTU,staggering,moderate_risk,3.7608,2.7899,0.2385,0.0126,5.474,0.033,0.0424,0.0419,Walking
S001C003P004R001A043,NTU,falling_down,high_risk,6.073,11.3981,0.257,0.0135,4.7266,0.2043,0.0575,0.2553,Lying
S001C003P004R002A008,NTU,sit_down,low_risk,35.9123,26.7521,0.1897,0.0112,7.6667,0.2071,0.13,0.4189,Sitting
S001C003P004R002A009,NTU,stand_up,low_risk,4.8134,8.0893,0.0809,0.0253,4.8688,0.7166,0.0924,0.669,Standing
S001C003P004R002A042,NTU,staggering,moderate_risk,10.2251,7.8011,0.2367,0.0145,5.5625,0.0482,0.0698,0.0535,Walking
S001C003P004R002A043,NTU,falling_down,high_risk,16.913,17.6671,0.1996,0.0096,5.0426,0.2002,0.0558,0.0981,Lying
S001C003P005R001A008,NTU,sit_down,low_risk,3.5474,2.4897,0.1567,0.0038,4.8535,0.1526,0.0231,0.0664,Sitting
S001C003P005R001A009,NTU,stand_up,low_risk,1.611,1.105,0.1615,0.0041,5.0286,0.1474,0.0233,0.0502,Standing
S001C003P005R001A042,NTU,staggering,moderate_risk,5.5042,3.5434,0.2449,0.0034,5.7276,0.0148,0.032,0.0323,Walking
S001C003P005R001A043,NTU,falling_down,high_risk,4.4883,5.1282,0.2197,0.0127,4.6479,0.2431,0.0518,0.146,Lying
S001C003P005R002A008,NTU,sit_down,low_risk,9.0971,9.2553,0.1523,0.0128,5.5964,0.1258,0.0545,0.0666,Sitting
S001C003P005R002A009,NTU,stand_up,low_risk,11.6284,7.5815,0.1749,0.0119,5.2767,0.1299,0.0417,0.0428,Standing
S001C003P005R002A042,NTU,staggering,moderate_risk,14.6322,9.4843,0.2573,0.0111,6.0123,0.0231,0.0642,0.0701,Walking
S001C003P005R002A043,NTU,falling_down,high_risk,4.3477,3.1555,0.193,0.0194,5.0152,0.2797,0.078,0.0457,Lying
S001C003P006R001A008,NTU,sit_down,low_risk,2.0105,2.0421,0.1685,0.004,4.7129,0.1591,0.0236,0.1476,Sitting
S001C003P006R001A009,NTU,stand_up,low_risk,1.5713,1.2571,0.1655,0.0039,5.4831,0.1849,0.0223,0.0892,Standing
S001C003P006R001A042,NTU,staggering,moderate_risk,9.4832,6.2264,0.2572,0.0113,5.4754,0.0213,0.0653,0.0507,Walking
