sequence_id,dataset,category,camera,label,risk_level,frame_count,detected_frames,missing_frames,pose_shape,pose_array_path
fall-04-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,96,56,40,"(96, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-04-cam0-rgb.npy
fall-05-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,151,119,32,"(151, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-05-cam0-rgb.npy
fall-06-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,100,100,0,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-06-cam0-rgb.npy
fall-07-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,156,137,19,"(156, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-07-cam0-rgb.npy
fall-08-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,91,91,0,"(91, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-08-cam0-rgb.npy
fall-09-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,185,158,27,"(185, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-09-cam0-rgb.npy
fall-10-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,130,93,37,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-10-cam0-rgb.npy
fall-11-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,130,130,0,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-11-cam0-rgb.npy
fall-12-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,110,0,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-12-cam0-rgb.npy
fall-13-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,85,84,1,"(85, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-13-cam0-rgb.npy
fall-14-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,61,60,1,"(61, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-14-cam0-rgb.npy
fall-15-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,71,53,18,"(71, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-15-cam0-rgb.npy
fall-16-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,55,55,0,"(55, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-16-cam0-rgb.npy
fall-17-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,95,82,13,"(95, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-17-cam0-rgb.npy
fall-18-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,65,44,21,"(65, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-18-cam0-rgb.npy
fall-19-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,100,51,49,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-19-cam0-rgb.npy
fall-20-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,110,0,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-20-cam0-rgb.npy
fall-01-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,160,65,95,"(160, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-01-cam1-rgb.npy
fall-02-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,85,25,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-02-cam1-rgb.npy
fall-03-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,216,93,123,"(216, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-03-cam1-rgb.npy
fall-04-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,96,94,2,"(96, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-04-cam1-rgb.npy
fall-05-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,151,62,89,"(151, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-05-cam1-rgb.npy
fall-06-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,100,100,0,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-06-cam1-rgb.npy
fall-07-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,156,118,38,"(156, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-07-cam1-rgb.npy
fall-08-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,91,80,11,"(91, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-08-cam1-rgb.npy
fall-09-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,185,117,68,"(185, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-09-cam1-rgb.npy
fall-10-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,130,129,1,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-10-cam1-rgb.npy
fall-11-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,130,106,24,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-11-cam1-rgb.npy
fall-12-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,109,1,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-12-cam1-rgb.npy
fall-13-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,85,19,66,"(85, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-13-cam1-rgb.npy
fall-14-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,61,50,11,"(61, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-14-cam1-rgb.npy
fall-15-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,71,20,51,"(71, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-15-cam1-rgb.npy
fall-16-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,55,31,24,"(55, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-16-cam1-rgb.npy
fall-17-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,95,20,75,"(95, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-17-cam1-rgb.npy
fall-18-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,65,50,15,"(65, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-18-cam1-rgb.npy
fall-19-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,100,50,50,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-19-cam1-rgb.npy
fall-20-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,103,7,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-20-cam1-rgb.npy
