sequence_id,category,label,status,pose_shape,total_frames,missing_frames,missing_ratio,quality
fall-03-cam1-rgb,fall_cam1,fall,ok,"(216, 33, 4)",216,123,0.569,weak
fall-04-cam1-rgb,fall_cam1,fall,ok,"(96, 33, 4)",96,2,0.021,good
fall-05-cam1-rgb,fall_cam1,fall,ok,"(151, 33, 4)",151,89,0.589,weak
fall-06-cam1-rgb,fall_cam1,fall,ok,"(100, 33, 4)",100,0,0.0,excellent
fall-07-cam1-rgb,fall_cam1,fall,ok,"(156, 33, 4)",156,38,0.244,acceptable
fall-08-cam1-rgb,fall_cam1,fall,ok,"(91, 33, 4)",91,11,0.121,good
fall-09-cam1-rgb,fall_cam1,fall,ok,"(185, 33, 4)",185,68,0.368,acceptable
fall-10-cam1-rgb,fall_cam1,fall,ok,"(130, 33, 4)",130,1,0.008,good
fall-11-cam1-rgb,fall_cam1,fall,ok,"(130, 33, 4)",130,24,0.185,good
fall-12-cam1-rgb,fall_cam1,fall,ok,"(110, 33, 4)",110,1,0.009,good
fall-13-cam1-rgb,fall_cam1,fall,ok,"(85, 33, 4)",85,66,0.776,weak
fall-14-cam1-rgb,fall_cam1,fall,ok,"(61, 33, 4)",61,11,0.18,good
fall-15-cam1-rgb,fall_cam1,fall,ok,"(71, 33, 4)",71,51,0.718,weak
fall-16-cam1-rgb,fall_cam1,fall,ok,"(55, 33, 4)",55,24,0.436,weak
fall-17-cam1-rgb,fall_cam1,fall,ok,"(95, 33, 4)",95,75,0.789,weak
fall-18-cam1-rgb,fall_cam1,fall,ok,"(65, 33, 4)",65,15,0.231,acceptable
fall-19-cam1-rgb,fall_cam1,fall,ok,"(100, 33, 4)",100,50,0.5,weak
fall-20-cam1-rgb,fall_cam1,fall,ok,"(110, 33, 4)",110,7,0.064,good
