sequence_id,dataset,action_code,label,risk_level,frame_count,joint_count,coordinate_count,pose_shape,pose_array_path
S001C001P003R001A008,NTU,A008,sit_down,low_risk,114,25,3,"(114, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P003R001A008.npy
S001C001P003R001A009,NTU,A009,stand_up,low_risk,104,25,3,"(104, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P003R001A009.npy
S001C001P003R001A042,NTU,A042,staggering,moderate_risk,135,25,3,"(135, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P003R001A042.npy
S001C001P003R001A043,NTU,A043,falling_down,high_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P003R001A043.npy
S001C001P003R002A008,NTU,A008,sit_down,low_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P003R002A008.npy
S001C001P003R002A009,NTU,A009,stand_up,low_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P003R002A009.npy
S001C001P003R002A042,NTU,A042,staggering,moderate_risk,124,25,3,"(124, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P003R002A042.npy
S001C001P003R002A043,NTU,A043,falling_down,high_risk,88,25,3,"(88, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P003R002A043.npy
S001C001P004R001A008,NTU,A008,sit_down,low_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P004R001A008.npy
S001C001P004R001A009,NTU,A009,stand_up,low_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P004R001A009.npy
S001C001P004R001A042,NTU,A042,staggering,moderate_risk,109,25,3,"(109, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P004R001A042.npy
S001C001P004R001A043,NTU,A043,falling_down,high_risk,82,25,3,"(82, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P004R001A043.npy
S001C001P004R002A008,NTU,A008,sit_down,low_risk,81,25,3,"(81, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P004R002A008.npy
S001C001P004R002A009,NTU,A009,stand_up,low_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P004R002A009.npy
S001C001P004R002A042,NTU,A042,staggering,moderate_risk,120,25,3,"(120, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P004R002A042.npy
S001C001P004R002A043,NTU,A043,falling_down,high_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P004R002A043.npy
S001C001P005R001A008,NTU,A008,sit_down,low_risk,57,25,3,"(57, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P005R001A008.npy
S001C001P005R001A009,NTU,A009,stand_up,low_risk,55,25,3,"(55, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P005R001A009.npy
S001C001P005R001A042,NTU,A042,staggering,moderate_risk,99,25,3,"(99, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P005R001A042.npy
S001C001P005R001A043,NTU,A043,falling_down,high_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P005R001A043.npy
S001C001P005R002A008,NTU,A008,sit_down,low_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P005R002A008.npy
S001C001P005R002A009,NTU,A009,stand_up,low_risk,52,25,3,"(52, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P005R002A009.npy
S001C001P005R002A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P005R002A042.npy
S001C001P005R002A043,NTU,A043,falling_down,high_risk,74,25,3,"(74, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P005R002A043.npy
S001C001P006R001A008,NTU,A008,sit_down,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P006R001A008.npy
S001C001P006R001A009,NTU,A009,stand_up,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P006R001A009.npy
S001C001P006R001A042,NTU,A042,staggering,moderate_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P006R001A042.npy
S001C001P006R001A043,NTU,A043,falling_down,high_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P006R001A043.npy
S001C001P006R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P006R002A008.npy
S001C001P006R002A009,NTU,A009,stand_up,low_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P006R002A009.npy
S001C001P006R002A042,NTU,A042,staggering,moderate_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P006R002A042.npy
S001C001P006R002A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P006R002A043.npy
S001C001P007R001A008,NTU,A008,sit_down,low_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P007R001A008.npy
S001C001P007R001A009,NTU,A009,stand_up,low_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P007R001A009.npy
S001C001P007R001A042,NTU,A042,staggering,moderate_risk,97,25,3,"(97, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P007R001A042.npy
S001C001P007R001A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P007R001A043.npy
S001C001P007R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P007R002A008.npy
S001C001P007R002A009,NTU,A009,stand_up,low_risk,66,25,3,"(66, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P007R002A009.npy
S001C001P007R002A042,NTU,A042,staggering,moderate_risk,100,25,3,"(100, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P007R002A042.npy
S001C001P007R002A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P007R002A043.npy
S001C001P008R001A008,NTU,A008,sit_down,low_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P008R001A008.npy
S001C001P008R001A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P008R001A009.npy
S001C001P008R001A042,NTU,A042,staggering,moderate_risk,101,25,3,"(101, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P008R001A042.npy
S001C001P008R001A043,NTU,A043,falling_down,high_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P008R001A043.npy
S001C001P008R002A008,NTU,A008,sit_down,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P008R002A008.npy
S001C001P008R002A009,NTU,A009,stand_up,low_risk,51,25,3,"(51, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P008R002A009.npy
S001C001P008R002A042,NTU,A042,staggering,moderate_risk,100,25,3,"(100, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P008R002A042.npy
S001C001P008R002A043,NTU,A043,falling_down,high_risk,64,25,3,"(64, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P008R002A043.npy
S001C002P001R001A008,NTU,A008,sit_down,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P001R001A008.npy
S001C002P001R001A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P001R001A009.npy
S001C002P001R001A042,NTU,A042,staggering,moderate_risk,195,25,3,"(195, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P001R001A042.npy
S001C002P001R001A043,NTU,A043,falling_down,high_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P001R001A043.npy
S001C002P001R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P001R002A008.npy
S001C002P001R002A009,NTU,A009,stand_up,low_risk,80,25,3,"(80, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P001R002A009.npy
S001C002P001R002A042,NTU,A042,staggering,moderate_risk,130,25,3,"(130, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P001R002A042.npy
S001C002P001R002A043,NTU,A043,falling_down,high_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P001R002A043.npy
S001C002P002R001A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P002R001A008.npy
S001C002P002R001A009,NTU,A009,stand_up,low_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P002R001A009.npy
S001C002P002R001A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P002R001A042.npy
S001C002P002R001A043,NTU,A043,falling_down,high_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P002R001A043.npy
S001C002P002R002A008,NTU,A008,sit_down,low_risk,76,25,3,"(76, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P002R002A008.npy
S001C002P002R002A009,NTU,A009,stand_up,low_risk,76,25,3,"(76, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P002R002A009.npy
S001C002P002R002A042,NTU,A042,staggering,moderate_risk,100,25,3,"(100, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P002R002A042.npy
S001C002P002R002A043,NTU,A043,falling_down,high_risk,64,25,3,"(64, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P002R002A043.npy
S001C002P003R001A008,NTU,A008,sit_down,low_risk,114,25,3,"(114, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P003R001A008.npy
S001C002P003R001A009,NTU,A009,stand_up,low_risk,103,25,3,"(103, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P003R001A009.npy
S001C002P003R001A042,NTU,A042,staggering,moderate_risk,134,25,3,"(134, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P003R001A042.npy
S001C002P003R001A043,NTU,A043,falling_down,high_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P003R001A043.npy
S001C002P003R002A008,NTU,A008,sit_down,low_risk,86,25,3,"(86, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P003R002A008.npy
S001C002P003R002A009,NTU,A009,stand_up,low_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P003R002A009.npy
S001C002P003R002A042,NTU,A042,staggering,moderate_risk,124,25,3,"(124, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P003R002A042.npy
S001C002P003R002A043,NTU,A043,falling_down,high_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P003R002A043.npy
S001C002P004R001A008,NTU,A008,sit_down,low_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P004R001A008.npy
S001C002P004R001A009,NTU,A009,stand_up,low_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P004R001A009.npy
S001C002P004R001A042,NTU,A042,staggering,moderate_risk,109,25,3,"(109, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P004R001A042.npy
S001C002P004R001A043,NTU,A043,falling_down,high_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P004R001A043.npy
S001C002P004R002A008,NTU,A008,sit_down,low_risk,81,25,3,"(81, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P004R002A008.npy
S001C002P004R002A009,NTU,A009,stand_up,low_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P004R002A009.npy
S001C002P004R002A042,NTU,A042,staggering,moderate_risk,120,25,3,"(120, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P004R002A042.npy
S001C002P004R002A043,NTU,A043,falling_down,high_risk,83,25,3,"(83, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P004R002A043.npy
S001C002P005R001A008,NTU,A008,sit_down,low_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P005R001A008.npy
S001C002P005R001A009,NTU,A009,stand_up,low_risk,55,25,3,"(55, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P005R001A009.npy
S001C002P005R001A042,NTU,A042,staggering,moderate_risk,99,25,3,"(99, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P005R001A042.npy
S001C002P005R001A043,NTU,A043,falling_down,high_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P005R001A043.npy
S001C002P005R002A008,NTU,A008,sit_down,low_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P005R002A008.npy
S001C002P005R002A009,NTU,A009,stand_up,low_risk,52,25,3,"(52, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P005R002A009.npy
S001C002P005R002A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P005R002A042.npy
S001C002P005R002A043,NTU,A043,falling_down,high_risk,74,25,3,"(74, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P005R002A043.npy
S001C002P006R001A008,NTU,A008,sit_down,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P006R001A008.npy
S001C002P006R001A009,NTU,A009,stand_up,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P006R001A009.npy
S001C002P006R001A042,NTU,A042,staggering,moderate_risk,72,25,3,"(72, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P006R001A042.npy
S001C002P006R001A043,NTU,A043,falling_down,high_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P006R001A043.npy
S001C002P006R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P006R002A008.npy
S001C002P006R002A009,NTU,A009,stand_up,low_risk,87,25,3,"(87, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P006R002A009.npy
S001C002P006R002A042,NTU,A042,staggering,moderate_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P006R002A042.npy
S001C002P006R002A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P006R002A043.npy
S001C002P007R001A008,NTU,A008,sit_down,low_risk,90,25,3,"(90, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P007R001A008.npy
S001C002P007R001A009,NTU,A009,stand_up,low_risk,56,25,3,"(56, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P007R001A009.npy
S001C002P007R001A042,NTU,A042,staggering,moderate_risk,98,25,3,"(98, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P007R001A042.npy
S001C002P007R001A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P007R001A043.npy
S001C002P007R002A008,NTU,A008,sit_down,low_risk,80,25,3,"(80, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P007R002A008.npy
S001C002P007R002A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P007R002A009.npy
S001C002P007R002A042,NTU,A042,staggering,moderate_risk,99,25,3,"(99, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P007R002A042.npy
S001C002P007R002A043,NTU,A043,falling_down,high_risk,60,25,3,"(60, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P007R002A043.npy
S001C002P008R001A008,NTU,A008,sit_down,low_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P008R001A008.npy
S001C002P008R001A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P008R001A009.npy
S001C002P008R001A042,NTU,A042,staggering,moderate_risk,101,25,3,"(101, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P008R001A042.npy
S001C002P008R001A043,NTU,A043,falling_down,high_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P008R001A043.npy
S001C002P008R002A008,NTU,A008,sit_down,low_risk,68,25,3,"(68, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C002P008R002A008.npy
S001C002P008R002A009,NTU,A009,stand_up,low_risk,51,25,3,"(51, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C002P008R002A009.npy
S001C002P008R002A042,NTU,A042,staggering,moderate_risk,101,25,3,"(101, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C002P008R002A042.npy
S001C002P008R002A043,NTU,A043,falling_down,high_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C002P008R002A043.npy
S001C003P001R001A008,NTU,A008,sit_down,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C003P001R001A008.npy
S001C003P001R001A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C003P001R001A009.npy
S001C003P001R001A042,NTU,A042,staggering,moderate_risk,196,25,3,"(196, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C003P001R001A042.npy
S001C003P001R001A043,NTU,A043,falling_down,high_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C003P001R001A043.npy
S001C003P001R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C003P001R002A008.npy
S001C003P001R002A009,NTU,A009,stand_up,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C003P001R002A009.npy
S001C003P001R002A042,NTU,A042,staggering,moderate_risk,130,25,3,"(130, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C003P001R002A042.npy
S001C003P001R002A043,NTU,A043,falling_down,high_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C003P001R002A043.npy
S001C003P002R001A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C003P002R001A008.npy
S001C003P002R001A009,NTU,A009,stand_up,low_risk,63,25,3,"(63, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C003P002R001A009.npy
S001C003P002R001A042,NTU,A042,staggering,moderate_risk,93,25,3,"(93, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C003P002R001A042.npy
S001C003P002R001A043,NTU,A043,falling_down,high_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C003P002R001A043.npy
S001C003P002R002A008,NTU,A008,sit_down,low_risk,76,25,3,"(76, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C003P002R002A008.npy
S001C003P002R002A009,NTU,A009,stand_up,low_risk,73,25,3,"(73, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C003P002R002A009.npy
