sequence_id,dataset,risk_level
S002C002P014R001A042,NTU,moderate_risk
S002C002P014R001A043,NTU,high_risk
S002C002P014R002A008,NTU,low_risk
S002C002P014R002A009,NTU,low_risk
S002C002P014R002A042,NTU,moderate_risk
S002C002P014R002A043,NTU,high_risk
S002C003P007R001A008,NTU,low_risk
S002C003P007R001A009,NTU,low_risk
S002C003P007R001A042,NTU,moderate_risk
S002C003P007R001A043,NTU,high_risk
S002C003P007R002A008,NTU,low_risk
S002C003P007R002A009,NTU,low_risk
S002C003P007R002A042,NTU,moderate_risk
S002C003P007R002A043,NTU,high_risk
S002C003P008R001A008,NTU,low_risk
S002C003P008R001A009,NTU,low_risk
S002C003P008R001A042,NTU,moderate_risk
S002C003P008R001A043,NTU,high_risk
S002C003P008R002A008,NTU,low_risk
S002C003P008R002A009,NTU,low_risk
S002C003P008R002A042,NTU,moderate_risk
S002C003P008R002A043,NTU,high_risk
S002C003P009R001A008,NTU,low_risk
S002C003P009R001A009,NTU,low_risk
S002C003P009R001A042,NTU,moderate_risk
S002C003P009R001A043,NTU,high_risk
S002C003P009R002A008,NTU,low_risk
S002C003P009R002A009,NTU,low_risk
S002C003P009R002A042,NTU,moderate_risk
S002C003P009R002A043,NTU,high_risk
S002C003P010R001A008,NTU,low_risk
S002C003P010R001A009,NTU,low_risk
S002C003P010R001A042,NTU,moderate_risk
S002C003P010R001A043,NTU,high_risk
S002C003P010R002A008,NTU,low_risk
S002C003P010R002A009,NTU,low_risk
S002C003P010R002A042,NTU,moderate_risk
S002C003P010R002A043,NTU,high_risk
S002C003P011R001A008,NTU,low_risk
S002C003P011R001A009,NTU,low_risk
S002C003P011R001A042,NTU,moderate_risk
S002C003P011R001A043,NTU,high_risk
S002C003P011R002A008,NTU,low_risk
S002C003P011R002A009,NTU,low_risk
S002C003P011R002A042,NTU,moderate_risk
S002C003P011R002A043,NTU,high_risk
S002C003P012R001A008,NTU,low_risk
S002C003P012R001A009,NTU,low_risk
S002C003P012R001A042,NTU,moderate_risk
S002C003P012R001A043,NTU,high_risk
S002C003P012R002A008,NTU,low_risk
S002C003P012R002A009,NTU,low_risk
S002C003P012R002A042,NTU,moderate_risk
S002C003P012R002A043,NTU,high_risk
S002C003P013R001A008,NTU,low_risk
S002C003P013R001A009,NTU,low_risk
S002C003P013R001A042,NTU,moderate_risk
S002C003P013R001A043,NTU,high_risk
S002C003P013R002A008,NTU,low_risk
S002C003P013R002A009,NTU,low_risk
S002C003P013R002A042,NTU,moderate_risk
S002C003P013R002A043,NTU,high_risk
S002C003P014R001A008,NTU,low_risk
S002C003P014R001A009,NTU,low_risk
S002C003P014R001A042,NTU,moderate_risk
S002C003P014R001A043,NTU,high_risk
S002C003P014R002A008,NTU,low_risk
S002C003P014R002A009,NTU,low_risk
S002C003P014R002A042,NTU,moderate_risk
S002C003P014R002A043,NTU,high_risk
S003C002P002R001A008,NTU,low_risk
S003C002P002R001A009,NTU,low_risk
S003C002P002R001A042,NTU,moderate_risk
S003C002P002R001A043,NTU,high_risk
S003C002P002R002A008,NTU,low_risk
S003C002P002R002A009,NTU,low_risk
S003C002P002R002A042,NTU,moderate_risk
S003C002P002R002A043,NTU,high_risk
S003C002P007R001A008,NTU,low_risk
S003C002P007R001A009,NTU,low_risk
S003C002P007R001A042,NTU,moderate_risk
S003C002P007R001A043,NTU,high_risk
S003C002P007R002A008,NTU,low_risk
S003C002P007R002A009,NTU,low_risk
S003C002P007R002A042,NTU,moderate_risk
S003C002P007R002A043,NTU,high_risk
S003C002P008R001A008,NTU,low_risk
S003C002P008R001A009,NTU,low_risk
S003C002P008R001A042,NTU,moderate_risk
S003C002P008R001A043,NTU,high_risk
S003C002P008R002A008,NTU,low_risk
S003C002P008R002A009,NTU,low_risk
S003C002P008R002A042,NTU,moderate_risk
S003C002P008R002A043,NTU,high_risk
S003C002P015R001A008,NTU,low_risk
S003C002P015R001A009,NTU,low_risk
S003C002P015R001A042,NTU,moderate_risk
S003C002P015R001A043,NTU,high_risk
S003C002P015R002A008,NTU,low_risk
S003C002P015R002A009,NTU,low_risk
S003C002P015R002A042,NTU,moderate_risk
S003C002P015R002A043,NTU,high_risk
S003C002P016R001A008,NTU,low_risk
S003C002P016R001A009,NTU,low_risk
S003C002P016R001A042,NTU,moderate_risk
S003C002P016R001A043,NTU,high_risk
S003C002P016R002A008,NTU,low_risk
S003C002P016R002A009,NTU,low_risk
S003C002P016R002A042,NTU,moderate_risk
S003C002P016R002A043,NTU,high_risk
S003C002P017R001A008,NTU,low_risk
S003C002P017R001A009,NTU,low_risk
S003C002P017R001A042,NTU,moderate_risk
S003C002P017R001A043,NTU,high_risk
S003C002P017R002A008,NTU,low_risk
S003C002P017R002A009,NTU,low_risk
S003C002P017R002A042,NTU,moderate_risk
S003C002P017R002A043,NTU,high_risk
S003C002P018R001A008,NTU,low_risk
S003C002P018R001A009,NTU,low_risk
S003C002P018R001A042,NTU,moderate_risk
S003C002P018R001A043,NTU,high_risk
S003C002P018R002A008,NTU,low_risk
S003C002P018R002A009,NTU,low_risk
S003C002P018R002A042,NTU,moderate_risk
S003C002P018R002A043,NTU,high_risk
S003C003P002R001A008,NTU,low_risk
S003C003P002R001A009,NTU,low_risk
S003C003P002R001A042,NTU,moderate_risk
S003C003P002R001A043,NTU,high_risk
S003C003P002R002A008,NTU,low_risk
S003C003P002R002A009,NTU,low_risk
S003C003P002R002A042,NTU,moderate_risk
S003C003P002R002A043,NTU,high_risk
S003C003P007R001A008,NTU,low_risk
S003C003P007R001A009,NTU,low_risk
S003C003P007R001A042,NTU,moderate_risk
S003C003P007R001A043,NTU,high_risk
S003C003P007R002A008,NTU,low_risk
S003C003P007R002A009,NTU,low_risk
S003C003P007R002A042,NTU,moderate_risk
S003C003P007R002A043,NTU,high_risk
S003C003P008R001A008,NTU,low_risk
S003C003P008R001A009,NTU,low_risk
S003C003P008R001A042,NTU,moderate_risk
S003C003P008R001A043,NTU,high_risk
S003C003P008R002A008,NTU,low_risk
S003C003P008R002A009,NTU,low_risk
S003C003P008R002A042,NTU,moderate_risk
S003C003P008R002A043,NTU,high_risk
S003C003P015R001A008,NTU,low_risk
S003C003P015R001A009,NTU,low_risk
S003C003P015R001A042,NTU,moderate_risk
S003C003P015R001A043,NTU,high_risk
S003C003P015R002A008,NTU,low_risk
S003C003P015R002A009,NTU,low_risk
S003C003P015R002A042,NTU,moderate_risk
S003C003P015R002A043,NTU,high_risk
S003C003P016R001A008,NTU,low_risk
S003C003P016R001A009,NTU,low_risk
S003C003P016R001A042,NTU,moderate_risk
S003C003P016R001A043,NTU,high_risk
S003C003P016R002A008,NTU,low_risk
S003C003P016R002A009,NTU,low_risk
S003C003P016R002A042,NTU,moderate_risk
S003C003P016R002A043,NTU,high_risk
S003C003P017R001A008,NTU,low_risk
S003C003P017R001A009,NTU,low_risk
S003C003P017R001A042,NTU,moderate_risk
S003C003P017R001A043,NTU,high_risk
S003C003P017R002A008,NTU,low_risk
S003C003P017R002A009,NTU,low_risk
S003C003P017R002A042,NTU,moderate_risk
S003C003P017R002A043,NTU,high_risk
S003C003P018R001A008,NTU,low_risk
S003C003P018R001A009,NTU,low_risk
S003C003P018R001A042,NTU,moderate_risk
S003C003P018R001A043,NTU,high_risk
S003C003P018R002A008,NTU,low_risk
S003C003P018R002A009,NTU,low_risk
S003C003P018R002A042,NTU,moderate_risk
S003C003P018R002A043,NTU,high_risk
S004C002P007R001A008,NTU,low_risk
S004C002P007R001A009,NTU,low_risk
S004C002P007R001A042,NTU,moderate_risk
S004C002P007R001A043,NTU,high_risk
S004C002P007R002A008,NTU,low_risk
S004C002P007R002A009,NTU,low_risk
S004C002P007R002A042,NTU,moderate_risk
S004C002P007R002A043,NTU,high_risk
S004C002P008R001A008,NTU,low_risk
S004C002P008R001A009,NTU,low_risk
S004C002P008R001A042,NTU,moderate_risk
S004C002P008R001A043,NTU,high_risk
S004C002P008R002A008,NTU,low_risk
S004C002P008R002A009,NTU,low_risk
S004C002P008R002A042,NTU,moderate_risk
S004C002P008R002A043,NTU,high_risk
S004C002P020R001A008,NTU,low_risk
S004C002P020R001A009,NTU,low_risk
S004C002P020R001A042,NTU,moderate_risk
S004C002P020R001A043,NTU,high_risk
S004C002P020R002A008,NTU,low_risk
S004C002P020R002A009,NTU,low_risk
S004C002P020R002A042,NTU,moderate_risk
S004C002P020R002A043,NTU,high_risk
S004C003P007R001A008,NTU,low_risk
S004C003P007R001A009,NTU,low_risk
S004C003P007R001A042,NTU,moderate_risk
S004C003P007R001A043,NTU,high_risk
S004C003P007R002A008,NTU,low_risk
S004C003P007R002A009,NTU,low_risk
S004C003P007R002A042,NTU,moderate_risk
S004C003P007R002A043,NTU,high_risk
S004C003P008R001A008,NTU,low_risk
S004C003P008R001A009,NTU,low_risk
S004C003P008R001A042,NTU,moderate_risk
S004C003P008R001A043,NTU,high_risk
S004C003P008R002A008,NTU,low_risk
S004C003P008R002A009,NTU,low_risk
S004C003P008R002A042,NTU,moderate_risk
S004C003P008R002A043,NTU,high_risk
S004C003P020R001A008,NTU,low_risk
S004C003P020R001A009,NTU,low_risk
S004C003P020R001A042,NTU,moderate_risk
S004C003P020R001A043,NTU,high_risk
S004C003P020R002A008,NTU,low_risk
S004C003P020R002A009,NTU,low_risk
S004C003P020R002A042,NTU,moderate_risk
S004C003P020R002A043,NTU,high_risk
S005C002P004R001A008,NTU,low_risk
S005C002P004R001A009,NTU,low_risk
S005C002P004R001A042,NTU,moderate_risk
S005C002P004R001A043,NTU,high_risk
S005C002P004R002A008,NTU,low_risk
S005C002P004R002A009,NTU,low_risk
S005C002P004R002A042,NTU,moderate_risk
S005C002P004R002A043,NTU,high_risk
S005C002P010R001A008,NTU,low_risk
S005C002P010R001A009,NTU,low_risk
S005C002P010R001A042,NTU,moderate_risk
S005C002P010R001A043,NTU,high_risk
S005C002P010R002A008,NTU,low_risk
S005C002P010R002A009,NTU,low_risk
S005C002P010R002A042,NTU,moderate_risk
S005C002P010R002A043,NTU,high_risk
S005C002P013R001A008,NTU,low_risk
S005C002P013R001A009,NTU,low_risk
S005C002P013R001A042,NTU,moderate_risk
S005C002P013R001A043,NTU,high_risk
S005C002P013R002A008,NTU,low_risk
S005C002P013R002A009,NTU,low_risk
S005C002P013R002A042,NTU,moderate_risk
S005C002P013R002A043,NTU,high_risk
S005C002P015R001A008,NTU,low_risk
S005C002P015R001A009,NTU,low_risk
S005C002P015R001A042,NTU,moderate_risk
S005C002P015R001A043,NTU,high_risk
S005C002P015R002A008,NTU,low_risk
S005C002P015R002A009,NTU,low_risk
S005C002P015R002A042,NTU,moderate_risk
S005C002P015R002A043,NTU,high_risk
S005C002P016R001A008,NTU,low_risk
S005C002P016R001A009,NTU,low_risk
S005C002P016R001A042,NTU,moderate_risk
S005C002P016R001A043,NTU,high_risk
S005C002P016R002A008,NTU,low_risk
S005C002P016R002A009,NTU,low_risk
S005C002P016R002A042,NTU,moderate_risk
S005C002P016R002A043,NTU,high_risk
S005C002P017R001A008,NTU,low_risk
S005C002P017R001A009,NTU,low_risk
S005C002P017R001A042,NTU,moderate_risk
S005C002P017R001A043,NTU,high_risk
S005C002P017R002A008,NTU,low_risk
S005C002P017R002A009,NTU,low_risk
S005C002P017R002A042,NTU,moderate_risk
S005C002P017R002A043,NTU,high_risk
S005C002P018R001A008,NTU,low_risk
S005C002P018R001A009,NTU,low_risk
S005C002P018R001A042,NTU,moderate_risk
S005C002P018R001A043,NTU,high_risk
S005C002P018R002A008,NTU,low_risk
S005C002P018R002A009,NTU,low_risk
S005C002P018R002A042,NTU,moderate_risk
S005C002P018R002A043,NTU,high_risk
S005C002P021R001A008,NTU,low_risk
S005C002P021R001A009,NTU,low_risk
S005C002P021R001A042,NTU,moderate_risk
S005C002P021R001A043,NTU,high_risk
S005C002P021R002A008,NTU,low_risk
S005C002P021R002A009,NTU,low_risk
S005C002P021R002A042,NTU,moderate_risk
S005C002P021R002A043,NTU,high_risk
S005C003P004R001A008,NTU,low_risk
S005C003P004R001A009,NTU,low_risk
S005C003P004R001A042,NTU,moderate_risk
S005C003P004R001A043,NTU,high_risk
S005C003P004R002A008,NTU,low_risk
S005C003P004R002A009,NTU,low_risk
S005C003P004R002A042,NTU,moderate_risk
S005C003P004R002A043,NTU,high_risk
S005C003P010R001A008,NTU,low_risk
S005C003P010R001A009,NTU,low_risk
S005C003P010R001A042,NTU,moderate_risk
S005C003P010R001A043,NTU,high_risk
S005C003P010R002A008,NTU,low_risk
S005C003P010R002A009,NTU,low_risk
S005C003P010R002A042,NTU,moderate_risk
S005C003P010R002A043,NTU,high_risk
S005C003P013R001A008,NTU,low_risk
S005C003P013R001A009,NTU,low_risk
S005C003P013R001A042,NTU,moderate_risk
S005C003P013R001A043,NTU,high_risk
S005C003P013R002A008,NTU,low_risk
S005C003P013R002A009,NTU,low_risk
S005C003P013R002A042,NTU,moderate_risk
S005C003P013R002A043,NTU,high_risk
S005C003P015R001A008,NTU,low_risk
S005C003P015R001A009,NTU,low_risk
S005C003P015R001A042,NTU,moderate_risk
S005C003P015R001A043,NTU,high_risk
S005C003P015R002A008,NTU,low_risk
S005C003P015R002A009,NTU,low_risk
S005C003P015R002A042,NTU,moderate_risk
S005C003P015R002A043,NTU,high_risk
S005C003P016R001A008,NTU,low_risk
S005C003P016R001A009,NTU,low_risk
S005C003P016R001A042,NTU,moderate_risk
S005C003P016R001A043,NTU,high_risk
S005C003P016R002A008,NTU,low_risk
S005C003P016R002A009,NTU,low_risk
S005C003P016R002A042,NTU,moderate_risk
S005C003P016R002A043,NTU,high_risk
S005C003P017R001A008,NTU,low_risk
S005C003P017R001A009,NTU,low_risk
S005C003P017R001A042,NTU,moderate_risk
S005C003P017R001A043,NTU,high_risk
S005C003P017R002A008,NTU,low_risk
S005C003P017R002A009,NTU,low_risk
S005C003P017R002A042,NTU,moderate_risk
S005C003P017R002A043,NTU,high_risk
S005C003P018R001A008,NTU,low_risk
S005C003P018R001A009,NTU,low_risk
S005C003P018R001A042,NTU,moderate_risk
S005C003P018R001A043,NTU,high_risk
S005C003P018R002A008,NTU,low_risk
S005C003P018R002A009,NTU,low_risk
S005C003P018R002A042,NTU,moderate_risk
S005C003P018R002A043,NTU,high_risk
S005C003P021R001A008,NTU,low_risk
S005C003P021R001A009,NTU,low_risk
S005C003P021R001A042,NTU,moderate_risk
S005C003P021R001A043,NTU,high_risk
S005C003P021R002A008,NTU,low_risk
S005C003P021R002A009,NTU,low_risk
S005C003P021R002A042,NTU,moderate_risk
S005C003P021R002A043,NTU,high_risk
S006C002P007R001A008,NTU,low_risk
S006C002P007R001A009,NTU,low_risk
S006C002P007R001A042,NTU,moderate_risk
S006C002P007R001A043,NTU,high_risk
S006C002P007R002A008,NTU,low_risk
S006C002P007R002A009,NTU,low_risk
S006C002P007R002A042,NTU,moderate_risk
S006C002P007R002A043,NTU,high_risk
S006C002P008R001A008,NTU,low_risk
S006C002P008R001A009,NTU,low_risk
S006C002P008R001A042,NTU,moderate_risk
S006C002P008R001A043,NTU,high_risk
S006C002P008R002A008,NTU,low_risk
S006C002P008R002A009,NTU,low_risk
S006C002P008R002A042,NTU,moderate_risk
S006C002P008R002A043,NTU,high_risk
S006C002P015R001A008,NTU,low_risk
S006C002P015R001A009,NTU,low_risk
S006C002P015R001A042,NTU,moderate_risk
S006C002P015R001A043,NTU,high_risk
S006C002P015R002A008,NTU,low_risk
S006C002P015R002A009,NTU,low_risk
S006C002P015R002A042,NTU,moderate_risk
S006C002P015R002A043,NTU,high_risk
S006C002P016R001A008,NTU,low_risk
S006C002P016R001A009,NTU,low_risk
S006C002P016R001A042,NTU,moderate_risk
S006C002P016R001A043,NTU,high_risk
S006C002P016R002A008,NTU,low_risk
S006C002P016R002A009,NTU,low_risk
S006C002P016R002A042,NTU,moderate_risk
S006C002P016R002A043,NTU,high_risk
S006C002P017R001A008,NTU,low_risk
S006C002P017R001A009,NTU,low_risk
S006C002P017R001A042,NTU,moderate_risk
S006C002P017R001A043,NTU,high_risk
S006C002P017R002A008,NTU,low_risk
S006C002P017R002A009,NTU,low_risk
S006C002P017R002A042,NTU,moderate_risk
S006C002P017R002A043,NTU,high_risk
S006C002P022R001A008,NTU,low_risk
S006C002P022R001A009,NTU,low_risk
S006C002P022R001A042,NTU,moderate_risk
S006C002P022R001A043,NTU,high_risk
S006C002P022R002A008,NTU,low_risk
S006C002P022R002A009,NTU,low_risk
S006C002P022R002A042,NTU,moderate_risk
S006C002P022R002A043,NTU,high_risk
S006C002P023R001A008,NTU,low_risk
S006C002P023R001A009,NTU,low_risk
S006C002P023R001A042,NTU,moderate_risk
S006C002P023R001A043,NTU,high_risk
S006C002P023R002A008,NTU,low_risk
S006C002P023R002A009,NTU,low_risk
S006C002P023R002A042,NTU,moderate_risk
S006C002P023R002A043,NTU,high_risk
S006C002P024R001A008,NTU,low_risk
S006C002P024R001A009,NTU,low_risk
S006C002P024R001A042,NTU,moderate_risk
S006C002P024R001A043,NTU,high_risk
S006C002P024R002A008,NTU,low_risk
S006C002P024R002A009,NTU,low_risk
S006C002P024R002A042,NTU,moderate_risk
S006C002P024R002A043,NTU,high_risk
S006C003P007R001A008,NTU,low_risk
S006C003P007R001A009,NTU,low_risk
S006C003P007R001A042,NTU,moderate_risk
S006C003P007R001A043,NTU,high_risk
S006C003P007R002A008,NTU,low_risk
S006C003P007R002A009,NTU,low_risk
S006C003P007R002A042,NTU,moderate_risk
S006C003P007R002A043,NTU,high_risk
S006C003P008R001A008,NTU,low_risk
S006C003P008R001A009,NTU,low_risk
S006C003P008R001A042,NTU,moderate_risk
S006C003P008R001A043,NTU,high_risk
S006C003P008R002A008,NTU,low_risk
S006C003P008R002A009,NTU,low_risk
S006C003P008R002A042,NTU,moderate_risk
S006C003P008R002A043,NTU,high_risk
S006C003P015R001A008,NTU,low_risk
S006C003P015R001A009,NTU,low_risk
S006C003P015R001A042,NTU,moderate_risk
S006C003P015R001A043,NTU,high_risk
S006C003P015R002A008,NTU,low_risk
S006C003P015R002A009,NTU,low_risk
S006C003P015R002A042,NTU,moderate_risk
S006C003P015R002A043,NTU,high_risk
S006C003P016R001A008,NTU,low_risk
S006C003P016R001A009,NTU,low_risk
S006C003P016R001A042,NTU,moderate_risk
S006C003P016R001A043,NTU,high_risk
S006C003P016R002A008,NTU,low_risk
S006C003P016R002A009,NTU,low_risk
S006C003P016R002A042,NTU,moderate_risk
S006C003P016R002A043,NTU,high_risk
S006C003P017R001A008,NTU,low_risk
S006C003P017R001A009,NTU,low_risk
S006C003P017R001A042,NTU,moderate_risk
S006C003P017R001A043,NTU,high_risk
S006C003P017R002A008,NTU,low_risk
S006C003P017R002A009,NTU,low_risk
S006C003P017R002A042,NTU,moderate_risk
S006C003P017R002A043,NTU,high_risk
S006C003P022R001A008,NTU,low_risk
S006C003P022R001A009,NTU,low_risk
S006C003P022R001A042,NTU,moderate_risk
S006C003P022R001A043,NTU,high_risk
S006C003P022R002A008,NTU,low_risk
S006C003P022R002A009,NTU,low_risk
S006C003P022R002A042,NTU,moderate_risk
S006C003P022R002A043,NTU,high_risk
S006C003P023R001A008,NTU,low_risk
S006C003P023R001A009,NTU,low_risk
S006C003P023R001A042,NTU,moderate_risk
S006C003P023R001A043,NTU,high_risk
S006C003P023R002A008,NTU,low_risk
S006C003P023R002A009,NTU,low_risk
S006C003P023R002A042,NTU,moderate_risk
S006C003P023R002A043,NTU,high_risk
S006C003P024R001A008,NTU,low_risk
S006C003P024R001A009,NTU,low_risk
S006C003P024R001A042,NTU,moderate_risk
S006C003P024R001A043,NTU,high_risk
S006C003P024R002A008,NTU,low_risk
S006C003P024R002A009,NTU,low_risk
S006C003P024R002A042,NTU,moderate_risk
S006C003P024R002A043,NTU,high_risk
S007C002P007R001A008,NTU,low_risk
S007C002P007R001A009,NTU,low_risk
S007C002P007R001A042,NTU,moderate_risk
S007C002P007R001A043,NTU,high_risk
S007C002P007R002A008,NTU,low_risk
S007C002P007R002A009,NTU,low_risk
S007C002P007R002A042,NTU,moderate_risk
S007C002P007R002A043,NTU,high_risk
S007C002P008R001A008,NTU,low_risk
S007C002P008R001A009,NTU,low_risk
S007C002P008R001A042,NTU,moderate_risk
S007C002P008R001A043,NTU,high_risk
S007C002P008R002A008,NTU,low_risk
S007C002P008R002A009,NTU,low_risk
S007C002P008R002A042,NTU,moderate_risk
S007C002P008R002A043,NTU,high_risk
S007C002P015R001A008,NTU,low_risk
S007C002P015R001A009,NTU,low_risk
S007C002P015R001A042,NTU,moderate_risk
S007C002P015R001A043,NTU,high_risk
S007C002P015R002A008,NTU,low_risk
S007C002P015R002A009,NTU,low_risk
S007C002P015R002A042,NTU,moderate_risk
S007C002P015R002A043,NTU,high_risk
S007C002P016R001A008,NTU,low_risk
S007C002P016R001A009,NTU,low_risk
S007C002P016R001A042,NTU,moderate_risk
S007C002P016R001A043,NTU,high_risk
S007C002P016R002A008,NTU,low_risk
S007C002P016R002A009,NTU,low_risk
S007C002P016R002A042,NTU,moderate_risk
S007C002P016R002A043,NTU,high_risk
S007C002P017R001A008,NTU,low_risk
S007C002P017R001A009,NTU,low_risk
S007C002P017R001A042,NTU,moderate_risk
S007C002P017R001A043,NTU,high_risk
S007C002P017R002A008,NTU,low_risk
S007C002P017R002A009,NTU,low_risk
S007C002P017R002A042,NTU,moderate_risk
S007C002P017R002A043,NTU,high_risk
S007C002P018R001A008,NTU,low_risk
